stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.41,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,4.8,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.68,0.73,0,0,0,0.64,0,0,0,0,0,10.2,0,0,0,0.85,0,0,0,2.53,0,0,0,2.71,0.86,0,5.53,0,0,0,0,0
 36-46,0,0,1.32,0,3.77,0,0,0,0,0.72,0,0,2.54,0,0,0,6.92,2.76,0,0,17.24,0,0,0,17.23,0.58,0,23.21,0,0,0,0,1.4
 48-58,0,0,1.54,0,3.76,0,0,0,0,0.46,0,0,0,0,0,1.48,4.72,0.7,0,0,4.73,0,0,0,3.12,0,0,5.99,0,0,0,0,0
 60-70,0,0,1.97,0,11.36,0,0,0.62,3.11,2.55,0,0,0.75,0,0.84,0,10.75,0,0,0,1.8,0,0.93,0,3.54,0.6,0,1.19,0,0.86,0,0.59,7.36
 72-82,0.62,0,0.81,0,1.79,0,0,0,6.05,3.4,0,1,0.97,0.49,0,7.83,5.93,1.2,0,0.54,2.06,0,1.75,0,4.38,0.58,0,0,0,1.71,0.5,5.78,0
 84-94,2.22,0,1.67,1.6,1.34,0,0,0,5.63,7.58,0,0.63,2.45,0.65,0,6.54,10.67,6.9,1.77,1.53,1.91,0,3.33,0,10.92,1.59,0,0.65,0,1.05,0,3.61,0
 96-106,0,0,1.51,3.74,9.97,0,0,1.12,10.75,12.24,0.62,0,2.85,0.77,0,15,16.99,1.13,0,0.8,8.46,0,1.24,0,2.03,5.35,0,1.5,5.24,1.16,3.92,6.31,2.28
108-118,0.52,0,2.18,0,15.82,0,0,0,3.17,24.79,0,0,2.92,0,0.82,29.93,30.69,0,0,0,14.13,1.29,1.96,1.23,4.32,1.9,0.53,0,4.51,0,0,2.54,0
120,0,0,0,0,2.62,5.69,0,0,0,15.23,0,0,9.51,0,0,17.25,9.55,0,13.3,0,2.47,0,0,0,1.12,2.29,0,0,0,0,3.03,1.05,0
