stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,42.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0
  5-6,125.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91,0,0,0,0,7.54,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.63,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.74,0,0,0,5.27,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.89,6.2,2.99,0,0.89,0,0,1.86,0,0,0,0,0,0,0,0,0,3.05,0,0,0.96,28.12,3.34,3.18,0,0.88,0,2.06,8.33,0,5.52,11.42,0,0,0,0
 24-34,0,0.67,0,3.8,0,0,6.46,0,0,1.09,0.63,0,0,0,0,0,0,0,0,11.64,0,0,2.81,107.78,0,1.31,0.64,0,0,6.77,0,0,0.88,24.66,0,0,0,2.64
 36-46,0,0,0,0,0,0,11.72,1.15,0.78,3.77,0,0,0,0,0,0,0,0,0.61,8.01,0,0,4.02,182.95,0,2.06,0,0,0,3.28,0,1.34,0,34.93,0,1.49,0,0
 48-58,0,0,0,2.43,0,0,22.12,0,0,12.52,0,0,0,0.56,0,2.58,0,0,2.05,9.39,0.49,0,3.11,182.5,0,2.25,0,0,0,2.69,0,0,0,36.82,0,0.77,0,0
 60-70,0,0,0,3.16,2.11,0,69.45,3.25,0,14.96,0,0,0,0,0,0,1.57,0,0,20.1,0,0,6.68,223.31,0,2.71,1.01,0,0,0,0,0,0,37.18,4.21,4.47,0,3.6
 72-82,0,1.3,0,1.19,5.4,0,53.42,0,1.96,12.87,0,0,0,0,0,0,0,0,0,18.94,0,0.7,4.41,223.29,0,2.71,0.7,0,1.08,0.61,0,0,0,15.87,0,3.68,0,1.15
 84-94,0,0.81,0,1.37,4.18,0,49.32,0,0,16.41,0,0,0,0.8,0,0.96,0,0,0,20.68,0,0,0.75,131.45,3.84,3.11,0,0,0,0,0,0,0,9.72,0,2.94,0,8.86
 96-106,0,0,0,2.32,2.41,0,39.45,0,0,25.47,0,0,0,0.78,0,0,1.05,0.6,1.26,28.75,0,1.05,2.43,93,0.62,11.61,0,0,0,2.19,0,0,0,9.61,0,2.45,0,7.15
108-118,0,2.08,0,3.33,0,1.62,58.65,0,0,25.8,1.37,0,0.63,1.21,1.23,0,0,0,0,26.13,0,1.27,2.75,138.92,0.98,2.16,0,0,0,0.92,0,0,0,10.31,0,3.09,0,1.4
120,0,0,0,0,0,0,30.08,0,0,33.86,0,0,0,0,0,6.89,1.88,0,0,3.74,0,0,7.3,209.1,0,10.01,0,0,0,0,0,0,0,19,0,4.78,3.36,0
