stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,12.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.54,0,0,0,3.59,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,2.32,0,0,25.56,0.9,0,0,0,0,0,2.97,1.62,284.54,0,0,0
 24-34,0,8.69,0,0,2.29,0,0.64,0,0,0,0,0,0,0,19.15,0,3.07,797.02,7.61,1.26,1.06,0,0,0,0,0,2034.43,0,0,0
 36-46,0,0.79,0,0,25.19,0,2.72,164.07,0,1.45,0,0.65,0,0,9.56,0,12.53,1324.76,0.56,1.15,8.06,0,0,1.99,1.23,0,2175.19,0,1.94,0
 48-58,0,7.48,0,0,46.84,0.38,1.58,366.69,0,0,0,0,0,0,25.37,0,3.98,1562.41,0.42,1.2,0,0,0,1.69,0,0,846.79,0,0,0
 60-70,0,1.97,0,0,24.18,0.94,0.86,95.29,0,0,0,1.02,0,9.95,6.71,0,0.85,1247.82,0,0,0,0,0,0,0,0,247.3,0,0,0
 72-82,0,5.09,0.62,0,59.23,2.19,1.38,77.08,0,0,0,0,0,0,58.98,0,3.58,1062.18,0,0,2.81,0,0,4.34,0,0,195.54,0,1.79,10.21
 84-94,0,5.98,0,0,31.95,0,0,25.13,0,2.03,1.25,0,2.58,0,55.23,12.06,2.66,876.79,0,1.06,3.22,0,0,2.84,0,0,91.38,1.42,0,9.81
 96-106,0,6.13,0,0,32.96,0,2.31,23.76,0,0.72,0,0.75,0,0,57.82,0,0,710.44,0,0,6.11,0,0,1.09,0,0,62.74,0,0,2.66
108-118,0,0.94,1.67,0,21.35,0,0.53,17.12,3.93,1.98,1.57,0,2.42,0,64.96,0.62,0,951.81,0,0,0.74,0,1.8,0,0,0,106.27,0,2.69,0.92
120,0,15.33,0,1.61,17.19,0,0,26.59,0,0,0,0,0,0,65.1,0,3.79,703.11,0,0,0,0,0,0,0,0,136.63,0,0,0
