stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.5,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,82.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.55,0,0,0,19.98,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.2,0,6.38,0,0,2.21,0,0,0,0,0,0,0,0,8.67,0,0,18.34,63.61,0,0,0,0.91,0,0,4.13,3.92,8.15,17.26,0,0,0,0,0
 24-34,0,0,0.84,2.63,0,9.61,0,0.89,3.21,0,0,15.78,0,0.62,0,0.76,0.8,20.7,0.95,0,3.18,133.31,46.27,0,0.72,0,0,0,0,0,4.2,37.79,0,0,0,0,0
 36-46,0,0,0,0,0,13.52,0,0.63,7.04,0,0,1.38,0,0,0,0,0,9.87,0,18.16,1.87,119.2,28.06,0,0,0,0,0,0,0,0,28.75,0,1.25,11.15,0,0
 48-58,0,0,0,3.91,0,26.48,0,0,7.24,0,0,4.66,0,0,0,0,0,14.47,0.46,10.98,0,121.33,2.13,0,0,0,0,0,0,0,0,9.06,0,6.55,2.61,0.9,0
 60-70,0,0,0,0.71,3.51,70.24,1.31,1.6,5.72,3.6,0,0,0,0,0,1.78,0,74.76,1.14,132.55,7.38,157.32,0.67,0,0,0,10.52,1.86,0,0,0,9.69,0,123.94,0,132.76,8.05
 72-82,0,0,0,1.99,0,78.52,0,4.09,16.18,0,0.59,0,0,0,0,0,0,61.45,3.24,95.66,2.75,105.12,0,0,0,0,22.25,0,0,0,0,10.66,0.97,169.69,0,272.99,0
 84-94,0,2.29,0,0,3.96,89.9,0,0.67,5.25,1.12,0,0,0.98,0,0,0,0,70.63,0,51.23,0,54.71,0.63,0.7,6.54,0,2.32,0,0,0,0,9.95,0,292.7,10.59,410.16,0
 96-106,0,1.04,0,0,0,62.02,0,0,1.81,0,0,0,0.66,0,0,0,14.09,118.54,0,99.19,0,93.58,0,0,0,0,17.5,0,0,0,0,4.75,0,233.73,0,465.14,0
108-118,0,4.19,0,1.34,0.6,83.51,0.78,0,9.38,0.66,0,0,0,0,1.44,0,0,126.88,0,47.36,0.42,68.11,2.32,0,0,0,46.93,0,0,0,0,0,0,202.22,3.75,245.88,0
120,0,1.37,0,2.66,0,36.99,0,0,6.36,0,0,0,0,0,0,0,0,81.01,0,103.46,0,27.67,0,0,2.51,0,90.12,0,0,0,0,0,0,260.44,4.45,464.95,0
