stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,75.07,623.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.55,0,0,0,0,0,0,0,0,0,0
  5-6,51.35,573.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45,0,0,0,0,0,18.71,0,0,0,0,0,0,0,0,0,0
  7-9,11.45,11.21,0,10.41,0,0,45.49,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0,212.12,0,0,0,53.71,0,0,7.71,0,0,0,0,0,0,0,0,0
 10-12,0,4.08,0,14.37,0,8.02,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.6,0,0,0,135.01,0,0,4.37,7.13,3.38,0,0,0,0,0,0,0
 14-21,0,0,0.8,3.81,13.71,1.05,0,0,0,1.25,0.99,0,0,0,2.05,0,0,0,0,7.96,0,0,3.04,100.95,2.37,0,0.95,0,0,0,0.9,5.16,1.73,0.91,43.44,0,0,2.76,0,0
 24-34,0,0,0,0.59,13.76,1.93,27.52,1.67,0.68,4.92,1.01,1.08,0,0,0.69,0,0.64,0,1.33,12.56,0.95,0,7.15,281.88,1.4,3.54,4.54,0,0,8.86,0,0,0.7,2.6,65.09,0,0,22.31,0,5.3
 36-46,0,0,0,0,4.2,0,20.83,0,1.97,11.55,0,0,0,0,0,3.69,0,0.77,1.91,13.02,0,0,2.01,238.75,0,1.14,0.72,0,0,15.91,0,0,0,0,57.36,0,0,4.3,0,0.85
 48-58,0,0,0,0,8.66,0,75.89,0,1.19,38.76,0,0,0,0.56,0,0,0.51,5.41,0,23.26,0.53,1.69,1.23,250.59,1,0.81,0.55,0,0,10.58,0,0,0,0,55.01,0,0,0.97,0,11.35
 60-70,0,0,0,0,8.09,0,132.21,0,0,26.36,1.82,0,0,0,0,0,0.69,1.37,4.5,24.97,1.1,0,0,205.31,0,4.08,4.6,0,0,5.58,0,0,0,0,28.54,0,0,7.69,0,10.19
 72-82,0,0,0.58,0,8.06,3.45,137.42,0,3.05,36.48,0.65,0,1.23,0,0.53,1.03,0,5.3,0.49,42.89,0.59,0,3.19,233.24,1.06,3.06,7.94,0,0,4.56,0,0,0.5,0,23.21,3.49,0,16.72,1.28,14.45
 84-94,0,0,2.31,0,7.64,0.68,98.97,0,9.35,40.14,4.46,0,0,2.78,2.3,0,0,2.08,2.42,36.54,0,2.36,0.58,120.04,7.58,2.53,8.47,0,0,22.4,0,0,3.53,0,6.27,2.19,0,13.05,1.58,0.77
 96-106,0,0,1.23,0,7.76,0,72.19,1.74,0,28.92,5.03,0,0,5.23,0.56,1.99,4.09,0,0,25.13,0,3.37,2.19,141.95,0,3.51,9.46,0,0.81,12.12,0,0,2.13,0,2.47,2.79,3.51,4.04,2.77,0.62
108-118,0,0,0,0,9.44,6.83,79.09,2.41,1.55,45.53,2.94,0,0,9.7,2.44,3.19,3.86,1.5,0.68,28.09,0,0,3.11,201.45,0,15.28,6.65,0,2.92,18.91,0,0,2.3,0,7.93,1.08,0,14.65,0.6,1.25
120,0,0,0,0,10.83,0,61.08,1.16,1.29,30.07,6.48,0,0,8.07,0,2.11,0,3.16,0,31.85,0,0,7.16,240.63,11.13,9.88,9.99,0,0,7.16,0,0,1.86,0,21.79,0,0,11.09,0,0
