stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,81.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0,0
  5-6,21.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.72,0,0,0,0,0,7.87,0,0,0,0,0,0,0,0,0,0,0,90.02,0,0,0,11.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.65,0,0,0,0,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.71,7.26,2.74,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.32,0,0,0,0,0,5.76,0,0,2.94,40.38,0,0,1.05,0,0
 24-34,0,0,0,4.03,0.62,0,6.72,0,0,0,0,0,0,0,0,3.03,0,0,0,0,11.88,0,0,0,476.05,0.64,0,0,0,0,27.82,0,0,0,218.75,0,0,3.06,0,0.69
 36-46,0,0,0,10.15,0,0,33.04,0,0,0,1.66,0.82,0,0,0,0,0,0,0,0,13.48,0,0,3.17,1077.3,0,0,9.85,0,0,65.49,0,1.53,0,432.39,0,0,14.42,0,0
 48-58,0,0,0,16.36,0,0,98.24,0,0,0,5.2,0,0.7,0,0.47,0,0,1.27,0,1.66,20.16,5.44,5.85,2.43,1874.31,3.38,3.54,2.47,0,0,37.5,1.67,0,0,416.81,0,0,0.83,0,5.73
 60-70,0,0,0,15.53,0.56,0,269.85,0.58,5.94,0,13.56,0.65,0,0,0,0,4.06,1.95,8.65,3.59,27.39,0.85,0,3.44,3112.94,3.13,1.19,0,0,0,22.84,0,2.02,0,498.47,3.8,0,6.87,0,0
 72-82,0,0,0,10.7,13.19,0,473.01,0,0.65,0,58.25,1.97,0,0,0.5,2.11,3.32,1.06,3.49,0,51.1,1.49,2.4,0.69,4194.91,0,0,3.25,0,2.12,9.17,0,0.51,0,369.68,0.62,0,7.15,0,0
 84-94,0,0,0,15.04,15.39,0,434.64,3.23,2.85,0,73.37,2.48,0,0.78,4.1,5.27,1.32,1.46,0,0,43.53,0,1.37,7.39,2587.89,1.46,1.04,2.47,0,0,14.59,0,0,0,242.81,0,1.64,6.06,0.72,0.61
 96-106,0,0.99,0,13.12,27.23,0.6,347.49,0.59,0,2.93,142.55,0.87,0,0,2.35,1.37,1.98,1.48,3.15,0,30.42,0.69,0,2.92,2440.12,0.71,0,1.55,0,0,5.56,0,0,0,147.26,1.13,1.2,7,2.35,0
108-118,0,1.38,0,21.15,18.19,0,367.58,2.39,3.26,0,116.92,2.46,0,0,0.42,2.76,0,0,0,0.76,32.75,2.3,0,4.94,2028.67,0,2.04,4.35,0,0,6.61,0,0,0,115.26,2.24,1.67,3.22,1.05,1.42
120,0,0,0,25.38,9.51,14.33,491.41,0,1.16,0,98.18,1.09,0,3.7,0,3.28,3.86,0,0,1.79,14.95,2.96,0,0,3191.35,0,4.64,1.76,0,0,6.03,0,0,0,122.04,0,0,3.19,0,0
