stage,axial,blastomeres,epidermis,eye,glial,iridophores,mesenchyme,mucous,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,8.36,13.12,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0
 10-12,0,0,0,5.59,0,0,0,0,0,3.6,0,0,0,0,0
 14-21,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.82,0,0,2.24,0.61,0
 36-46,0,0,0,0,0,0,0.71,0,0,9.71,0,0,0,1.65,0
 48-58,0,0,0,1.46,0.63,0,1.02,0,0,35.67,0,0,0,3.71,0
 60-70,0,0,0,0,0,0,0,0,0,33.81,0,0,0,7.43,0
 72-82,0,0,0,4.2,0.74,0,0,0,0,31.5,0,0,0,9.33,2.38
 84-94,0,0,0,4.28,0,0,0,0.76,0,18.93,0,0,0,0,0
 96-106,0,0,0,1.3,2.63,0,0,0,0,3.37,0.66,0,0,0,0
108-118,0,0,0,0,0,5.15,0,0,0,5.33,0,0,0,0,0
120,0,0,0,4.56,0,0,0,0,1.45,26.52,12.85,0,0,0,0
