stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.2,0,0,0,0,0,0,0,0,0,48.1,0,0,0,0,0,0,0,0,0,0,0,27.9,0,0,0,10.67,0,146.86,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.59,0,0,0,0,0,0,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,29.39,0,0,0,14.61,0,83.88,0,8.13,0,0,0,0,0,0,0,0
 14-21,0,0.85,28.27,1.95,3.46,0,0,0,0,0,225.65,47.2,40.64,1.26,1.22,0,0,66.9,14.16,2.24,0,2.3,19.23,0,0,0,0,0,105.33,0.86,0,10.26,10.04,32.87,0,0,3.2,0,579.39
 24-34,0,13.7,48.83,5.26,11.7,0.65,0,0,0,0.61,195.3,0,166.34,30.52,6.28,0,0,209.67,29.08,50.36,1.21,5.61,146.12,0,0,1.31,0,0,6.56,0,0,1.16,16.71,44.33,0,0,14.39,0,1399.52
 36-46,0,0.67,6.78,9.95,15.75,0,0,0,0.99,0,18.94,1.05,228.46,45.82,0,0,1.74,14.15,2.48,66.8,0,0,47.98,0,2.61,0.61,0,0,3.25,0,2.71,0,0,5.99,0,0,0,0,729.57
 48-58,0,0.57,3.24,0,28.2,0,0.45,0.41,1.32,1,264.92,0,218.96,11.37,4.57,0,0,0,4.75,80.03,0,0,62.19,0,0,0,0,0,6.09,0,1.31,0,0,8.1,0,0,0.83,0,403.55
 60-70,0,0,4.67,0,2.63,0,0.93,0,0,5.79,43.82,0,300.78,33.77,4.51,0,0,0,3.08,82.44,2.29,0,21.69,0,0,0,0,0,3.05,0,0,0,0,3.91,0,0,0,44.35,145.41
 72-82,0,0,3.76,11.82,33.94,0,1.63,0,2.81,20.22,44.98,0,177.03,37.55,8.88,0,0,0,56.72,318.07,67.89,0,22.71,0,4.67,0,0,0.71,8.16,0,0,0,0,0,3.4,10.84,4.1,167.25,44.47
 84-94,0,0,6.73,0.76,19.67,0,3.63,0,1.82,63.55,84.77,0,285.18,52.27,0,0,0,0,19.4,428.46,58.97,0,1.19,1.53,0,0,0,0,63.34,0,0.67,0,0,0,2.36,16.84,0.63,118.95,42.05
 96-106,0,0,17.58,8.5,20.04,0,9.96,1.01,11.3,112.04,2.12,0,371.93,79.37,1.95,0.77,0,0,34.74,755.08,51.1,0,101.67,0,1.82,0.6,0,0,208.29,0,0,0,0,0,4.65,7.12,0,278.28,124.83
108-118,0,0.49,21.79,5.85,34.59,0,2.13,1.52,2.89,114.87,0,0,206.95,60.6,2.87,0,3.81,0,5.56,415.76,178.48,0,61.71,0,0,0,0,3.11,132.21,0,0.89,0,0,1.31,6.47,12.5,1.18,237.06,110.72
120,0,0,21.73,11.88,13.27,0,1.53,0,0,53.66,0,0,311.36,43.79,0,0,13.18,0,15.83,239.85,193.13,9.19,49.84,2.47,0,0,0,0,63.76,0,0,0,0,0,6.34,11.26,6.85,291.57,53.22
