stage,axial,blastomeres,epidermis,eye,fast.muscle,gut,heart,immune,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,136.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0
  5-6,15.31,180.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,0,0,0,0,0
  7-9,7.23,0,0,24.16,0,0,0,0,0,0,0,0,0,0,38.6,17.93,0,0,0,0,0,0,0
 10-12,0,8.15,0,4.48,0,0,0,0,0,0,0,0,0,0,33.54,0,0,6.54,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,9.4,0,1.22,0,0,0.81,0,0,0
 36-46,0,0,0,0,13.65,0,1.05,0,0,4.14,0,0,0,0,3.39,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.61,2.44,0,0,0,0,0,0,0,0,0,5.89,0,0.89,0,2.5,0,0,0,0
 60-70,0,0,0.6,0.64,1.38,0,0,0,0,0,0,1.53,0,0,6.51,0,0,0,0,0.71,0,0,0
 72-82,0,0,0.55,14.32,0,0,0,0,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0
 84-94,0,0,0,7.76,0.91,0,0,0,0,0,0,0,6.9,0,2.5,0,0,0,0,0,0.57,0,0
 96-106,0,0,0.83,13.26,0,0,0,0,0,0,1.09,0,3.95,1.21,9.38,0,0,0,0,0,0.88,1.22,0.91
108-118,0,0,0,8.06,1.07,0,0,2.83,0,0,2.79,0,1.11,0,2.72,0,0,0,0,0,0.54,0,0
120,0,0,0,32.88,0,1.21,0,3.72,0,0,0,0,0,0,7.48,0,1.61,0,0,0,4.81,0,0
