stage,eye,mesenchyme,neural,periderm
 36-46,1.08,0,0.78,0
 48-58,1.15,0,0,0
 72-82,0,0,1.07,0
 84-94,1.02,2.13,0,0
 96-106,0,0.7,0,0.88
