stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  5-6,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.5,0,0,0,0,0,0,28.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,127.15,0,0,0,0,0,0,0,0,0,8.85,0,0,6.68,0,0,0,0
 14-21,0.93,0,0,125.51,364.22,0,0,0,1.79,29.48,0,0,5.39,0,0,0,0,0.95,0,14.07,0,0,0,0,1.87,0,0
 24-34,0,0,0,6.66,285.34,0,0,0,0,3.97,0,0,8.78,0,0,0,1.23,13.73,0,76.99,0,0.75,0,2.01,4.47,0,0
 36-46,0,0,0,2.71,67.51,0,0,0,0,0.7,0,0,2.26,0,0,0,1.01,6.27,0,76.6,0,0,0,0,1.32,0,0
 48-58,0,0,0,1.51,69.04,3.33,0,0,0,1.88,0,0,1.76,0,0.39,0,0.53,12.86,0,43.09,0,0,0,1.09,2.26,0,0
 60-70,0,0,0,6.88,38.35,3.15,0,0,2.28,4.72,0,0,1.35,0,0,0,1.32,6.7,1,35.56,0,0,0,0,0,0,0
 72-82,0,0,0,4.92,204.1,0.72,0,1.96,0,3.09,0,0,0,0,0,0,13.32,12.89,0,27.24,0,0,0,0,0,0,0
 84-94,0,0,0,7.2,264.71,0.55,0,0,1.29,4.93,0,0.69,1.95,0.65,0.78,1.17,0,18.07,0,29.2,0,0,0,0,0,0,0
 96-106,0,0,0,10.53,325.47,0,0,0,3.73,0,0,0,0,0,0.75,6.49,10.74,22.25,0,14.96,0,0,0,6.73,0,0,0
108-118,0,0,0,16.36,284.61,11.88,2.34,0,9.16,0,0.73,6.55,1.3,0,0,0,1.55,12.69,0,7.68,0,0,0,3.8,0,0.41,1
120,0,0,0,38.28,264.79,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,21.48,1.74,0,0,0,0,0,0
