stage,epidermis,fast.muscle,ionocyte,liver,mesenchyme,mucous,muscle,neural,periderm,spinal.cord,vasculature
 14-21,0,0,2.09,0,0,0,0,0,0,0.99,1.07
 24-34,0,0,67.17,1.74,0,1.98,3.13,2.29,0,0.82,0
 36-46,0.87,0,37.35,0,0,8.36,0,0,0,0,0
 48-58,0,0,54.81,0,0.79,1.19,0.38,6.49,0,0,0
 60-70,0,0,2.67,0,0,0.85,0,1.04,0,0.88,0
 72-82,0,0,10.4,0,1.01,0,0,4,0,0,0
 84-94,1.29,0,15,0,0,2.16,0,0,0.86,0,0
 96-106,0,1.46,20.25,0,0,1.45,0,0,0,0,0
108-118,1.24,0,25.48,0,0,0.53,0,2.69,0.88,0,0.95
120,1.79,0,8.31,0,0,0,0,0,0,0,0
