stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,14.36,0,0,0,19.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.78,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.29,0,5.18,0,4.44,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.23,0,0,0,6.64,0,0,0,0,0,0,3.24,0,0,0,0,0,0
 14-21,0,0.82,0,4.76,12.81,0,1.85,0,0,0,1.07,0,31.36,0,2.4,0,0,0,0,43.2,0,0,58.59,82.82,20.01,0,3.56,2.16,0,0,0,3.6,0.84,517.61,217.64,24.37,0,0,0.98,0,0
 24-34,0,0.66,0,3.76,0.68,0,20.59,155.64,1.68,0,6.64,0.61,29.58,2.05,0.74,0,0.72,0,0,185.68,0,0,264.63,335.6,26.41,0,0.76,0,1.61,2.44,0,0,3.72,377.39,160.84,62.82,0,0,21.3,0,0.77
 36-46,0,0,0.63,4.63,0,0,42.4,333.25,0.75,3.48,26.73,0,13.61,0,0,4.78,0.77,0,0,292.25,0,0,248.68,247.77,12.14,2.08,15.2,0,0,5.95,0,1.63,1.83,274.42,21.09,53.96,0,0,7.99,0,5.89
 48-58,0,0.49,0,21.71,0,0,41.58,227.33,3.62,3.46,39.34,0,22,0,3.82,15.94,1.5,6.95,2.32,353.91,0,6.98,167.29,211.63,11.02,0,7.84,0,0.56,0.43,0,0,1.14,145.44,0,50.23,0,0,2.62,0,8.39
 60-70,0,0,0,8.77,15.48,0,55.63,169.25,11.9,2.35,43.17,2.28,7.03,0,0.61,9.27,0.63,0,0,305.84,0,0,81.28,88.23,2.57,3.1,9.06,0.81,0,2.77,0,1.38,1.95,74.89,0,23.3,0,1.67,5.48,1.25,18.95
 72-82,0,1.88,0.64,2.77,0,0,57.6,145.43,9.21,7,53.66,3.39,19.27,1.42,2.49,25.44,2.91,1.36,0,343.16,0,4.01,86.39,101.63,0.57,0,13.52,2.25,0,8.22,0,0,0.63,45.76,0,10.8,0.5,5.85,6.11,5.14,10.56
 84-94,0,0,1.04,5.38,11.21,0,86.48,206.04,2.86,0.59,52.86,5.24,25.65,1.76,0,21.1,10.98,0,0,260.92,0,3.02,82.23,89.97,18.85,0,48.46,0,1.49,10.88,0,0,4.48,82.95,0,8.48,0,15.21,11.87,9.36,13.22
 96-106,0,0.61,1.03,7.55,27.86,0,54.28,284.51,8.64,2.29,74.04,9.6,22.76,0,2.95,24.58,5.01,4.79,6.59,147.68,2.07,0.59,91.67,127.97,2.49,2.01,29.56,0,1.54,11.96,0,0,2.79,56.68,0,1.95,1.88,18.32,11.64,8.05,9.87
108-118,0,2.26,0.51,24.16,2.32,2.65,42.61,234.31,12.57,5.02,74.12,17.45,28.77,0,1.64,55.79,5.63,0.44,0,181.73,0,4.21,87.84,86.96,7.74,1.9,43.29,0,5.94,2.51,0,0,7.94,52.72,0,6.14,0.44,14.75,11.81,7.79,8.44
120,0,0,0,39.18,0,0,44.78,206,12.47,5.21,70.85,4.49,9.8,0,1.51,16.7,7.15,2.96,0,104.7,0,4.23,95.03,108.9,0,0,29.58,0,13.1,0,2.5,0,3.15,20.11,0,15.44,0,11.07,0,29.91,7.88
