stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.03,0,0,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.33,1.07,0,3.3,0,0,0,0,0,0.91,0.87,0,0.96,0,0,0,0,0,0,0.86,0,0,0,62.82,0.9,0,0,0,0,1.12,0,0.83,0,0,36.38,0,0,1.05,0,0
 24-34,0,2.06,0.59,0.59,3.8,0,5.76,0,2.04,0,7.85,0,0,1.94,0,0.61,1.54,0,0,0,7.58,0,0,0.67,1268.47,1.29,7.94,1.75,0,0,14.42,0,0,0,0,325.17,0,0,25.56,0,0
 36-46,0,0,0,3.15,0,0,19.44,0,0,0,5.97,0,0,0,0,17.34,0,0,0,9.74,10.28,0,0,0,3031.54,0.55,4.63,22.31,0,0,2.21,0,0,0.62,0,437.09,0,0,9.51,0,0
 48-58,0,1.72,0,29.15,5.08,0,332.36,0,0,0,148.05,0,3.95,1.09,1.99,0,2.34,0,0,0,60.64,0,3.08,19.87,4511.21,1,1.75,5.25,4.77,0,9.57,0.65,0,2.86,0,411.42,0,0,7.49,0,2.18
 60-70,0,0,0,21.09,0.59,0,1382.82,0,7.74,0,330.92,0.85,0,0,0,0,0,0,0,0,197.5,0,0.85,7.18,8020.69,8.69,7.68,7.66,0,0,28.14,0,0,3.18,0,559.63,0,0,8,0,22.41
 72-82,0,2.97,0,31.91,5.32,0,1625.77,0,0.69,7.98,407.57,3.87,3.11,0,1.64,0,10.48,2.21,0,0,183.76,0,0,2.3,7387.74,0,3.23,9.34,0,0,15.4,0,0,0,0,367.86,5.33,0,3.97,0.93,5.1
 84-94,0,1.47,0,39.37,5.37,0,1117.74,0,7.23,0,333.11,2.22,0,0,2.33,1.87,7.98,0,4.38,10.93,202.46,1.39,3.02,2.67,5000.22,0.8,1.06,7.77,0,0.83,29.69,0,0,0.83,0.69,263.3,0,4.02,0,2.3,13.82
 96-106,0,0,0,27.36,4.21,5.91,887.28,0,1.12,0.64,282.36,0.89,0,0,5.74,0,1.5,0,4.61,0,178.32,0,0,0,3550.18,0,2.73,3.44,0,0,18.26,0,0,0,0,103.35,2.26,0,6.25,0.65,0
108-118,0,0,0,37.42,9.2,0,881.64,1.35,4.16,0,322.71,3.19,0,0,0.96,1.11,2.12,0,2.03,0,130.92,0,0,2.03,4700.29,0,1.06,26.11,0,0,15.72,0,0,0.52,0,162.84,1.77,0,4.11,1.13,2.24
120,0,8.73,0,151.96,13.57,0,2100.44,14.37,40.92,0,728.59,8.64,0,0,11.95,0,0,1.34,0,0,518.85,0,9.54,6.06,14106.32,2.01,24.49,3.26,0,6.17,34.93,0,0,6.71,0,376.55,3.36,4.4,9.88,0,0
