stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,96.11,2417.08,0,0,0,0,0,0,0,0,0,0,65.84,0,0,0,0,0
  5-6,87.97,1515.8,0,0,0,0,0,0,7.48,17.23,0,9.43,25.95,0,0,0,0,0
  7-9,12.06,20.29,13.13,0,0,65,24.44,0,369.25,23.66,0,235.16,0,5.26,0,0,0,0
 10-12,0,0,9.08,0,0,43.45,10.2,0,113.47,16.59,0,38.86,0,4.8,0,4.64,0,0
 14-21,0,0,0,3.66,0,2.73,0,0,15.89,0,1.23,0,0,0,2.23,0,4.69,0.88
 24-34,0,0,0,0,0,0,0,1.21,0,0,0,0,2.64,0,0,0,0,0
 60-70,0,0,0,0,2.56,0,0,0,0,0,0,0,5.17,0,0,0,0,0
 72-82,0,0,0,0,0,0.95,0,0,0,0,0,0,1.22,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0
