stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,17.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.11,240.62,0,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,34.43,6.07,0,0,16.05,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,59.58,10.27,0,16.64,0,0,0,5.98,0,0,0,0,0,17.13,0,0,0,0,0,0,0,0,0,0,177.66,18.48,0,0,339.67,7.16,6.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.83,0,0,0,13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.14,0,0,0,78.33,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,2.88,10.13,6.06,0,3.72,0,0,0,6.69,0.9,0,0,0,0,0,0,0,0,11.79,0,17.04,76.17,2.79,0,0,3.86,0,0,24.97,1.56,3,35.41,27.18,0,0,1.66,0,0
 24-34,0,0.83,0,0,6.66,0,0,11.65,0.9,0.72,0,1.62,0.73,0,0,0,0,0,0,1.96,0,23.47,0,9.16,367.11,0,7.39,3.36,0,3.5,0,1.22,0.85,4.09,2.93,68.34,0,0,7.03,0,0
 36-46,0,0,0,0,2.25,0,0,25.71,3.65,0,0,13.93,0,0,0,0.72,0,0,0,0,0,19.73,0,5.3,716.31,0.57,2.41,0.67,0,0,0,0,0,0,0,125.03,0,0,21.93,0,0
 48-58,0,0,0,0,8.79,1.97,0,144.43,0.38,0.41,0.67,38.84,0,0,0.78,4.73,0,0,0,0,4.54,29.62,0,14.84,948.3,0,4.49,0,0,3.62,0,0,0,0,0,158.93,0,0,1.97,0,3
 60-70,0,0,0,0,2.39,0.57,0,170.5,0,0,2.02,26.77,0,0,0,1.82,0,0,0,0,0,25.28,1.43,5.67,1054.03,0,4.64,1.84,0,3.21,0,0,0,1.41,0,132.57,0,0,3.79,0,0
 72-82,0,0,0,0,6.56,0.52,0,162.96,1.11,0,0,22.73,0.62,0,0.73,3.96,0,0,0,0,0,26.8,9.32,1.93,851.04,0,3.38,0,0,0.57,0,0,0.73,0,0,44.47,0,0,0.93,0,0
 84-94,0,0,1.15,0,2.29,8.01,0,93.83,2.93,0,0,22.51,0,0,0,6.3,0.56,2.32,0.69,0,3.51,20.43,0.72,0.75,558.4,0,3.65,0,0,8.95,0,0,0,0,0,35.42,0,0.62,7.91,6.1,23.82
 96-106,0,0,0,0,4.47,13.81,3.52,111.79,0,0,0,10.55,1.38,0,0.72,10.44,0,0.58,0,0,0,20.88,3.21,6.88,465.88,0,0,2.76,0,0.59,0,0,0.82,0,0,16.72,2.05,0,2.31,0,5.4
108-118,0,0,0,0,1.75,0,0,108.48,1.67,0,0,13.13,2.17,0,0,8.15,0,0,0,0,1.97,15.97,0,6.78,726.63,0,6.2,5.74,0,0,0,0,0,0,0,9.3,0,0,8.99,0,0
120,0,0,0,0,1.16,0,0,185.62,1.01,1.21,0,14.13,0,0,0,16.31,0,0,0,0,0,20.77,0,10.02,799.04,0,0,0,0,0,0,0,0,0,0,24.51,2.83,0,2.77,0,0
