stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.99,231.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.49,0,0,0,0,0,0,0
  5-6,0,191.65,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,38.13,0,0,5.99,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,14.89,8.45,0,31.25,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,2.13,0,2.24,19.74,0,0,0,0,0,0.89,3.73,1.22,0,0,0,0
 24-34,0,0,0,2.19,0,0,0.64,0.86,0,10.14,0,2.17,9.63,0,0.77,0,0,0,1.12,0.62,1.99,0,0,0,0
 36-46,0,0,0,1.95,0,0.75,0,0.9,0,15.43,0,2.78,19.12,0.72,0,0,0,0,0,0,2.48,0,0.63,0,0
 48-58,0,0,0,0.9,0,0,0,0,0,8.77,0,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,6.84,0,0,0,0,0,10.81,0,0.74,12.89,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.3,0,0.8,1.11,0,0,5.6,0,1.17,17.38,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.17,0,1.65,0.57,0,0,14.55,1.98,0.55,9.25,0,0,0,0.77,0,0,0,7.8,0.57,0,0,0
 96-106,0,0,0,2.07,0,1.52,0,0,0,23.42,5.54,1.7,12.14,0,0,0,0,0,0,0,0,0,5.32,0,2.21
108-118,0,0,0,1.84,0.68,0,0,0,0.55,34.34,0,2.89,13.68,0,0,0,0,0,0,0,6.89,0,0,3.41,0
120,0,0,4.28,16.55,0,0,0,0,0,32.6,11.74,0,13.19,0,0,0,0,0,0,0,0,0,0,0,9.75
