stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.9,538.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0
  5-6,42.18,359.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,8.18,0,0,0,0,0,0,0,0,0
  7-9,43.93,4.62,0,23.89,0,0,7.58,0,0,0,0,0,23.6,0,0,0,0,0,0,0,0,0,0,298.3,0,0,0,100.46,0,7.04,10.61,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,26.81,0,0,49.97,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,285.01,12.65,0,0,91.45,0,0,4.8,0,42.88,0,0,0,0,0,0
 14-21,0,0,0,0,13.44,0,0,0,0,0,1.25,0,0,0.81,0,0.83,0,0,0,3.56,0,0,4.83,18.45,0,0,0,1.66,0,4.85,0,1.13,5.51,2.52,7.5,0,2.35,0,0
 24-34,0,0,0,0,2.87,0.98,9.85,0,1.33,0,0,0,0,1.02,0,2.79,0.85,0,0.64,7.06,1.53,0,11.14,87.35,0,0,0,0,0,20.94,0,0,3.15,1.34,35.91,0,3.95,0,0
 36-46,0,0,0,0,3.16,0,22.3,0,1.17,1.84,1.08,0,0,0,0,1.01,0.94,0,0.91,3.96,0,0.89,1.29,143.7,0,2.94,0,0,0,33.7,0,0,4.08,0,21.9,0,2.05,0,0
 48-58,0,0,0,0,0.98,0,33.15,0,1.58,3.76,8.28,0,1.18,0,0,0,0,0,0.38,4.44,0,0,7.39,108.87,0,6.26,0,0,0,13.57,0,0,0,0,13.12,0,2.72,0,4.89
 60-70,0,0,0.86,0,0,1.5,119.02,0,0.9,2.45,7.87,0,1.21,0,0,0,0,0.77,0,27.41,1.01,0,0.61,146.97,0,2.55,0,0,0,15.68,0,0,0,0,46.96,2.51,12.09,0,7.3
 72-82,0,0,0,0,2.48,0,94.81,0,0,5.74,18.75,2.21,0,0.81,0,0,0,0,0,22.18,0.83,0,1.77,73.46,0,0,6.81,0,0,1.81,0,0,0.9,0,1.5,0.74,0.57,1.51,0
 84-94,0,0,0,0,3.39,0.57,27.73,0,0,14.39,12.32,1.36,0.71,0,0,0,0,0,0,20.34,0,0,0,46.86,0,0,0,0,0.6,6.66,0,0,1.68,0,13.42,1.03,1.72,1.25,0
 96-106,0,0,0,0,0,1.86,41.86,1.45,0,0,3.05,1.04,0,0.89,0,0,0,1.15,0,8.3,0,0,0.8,11.73,0,2.47,0,0,0,6.89,0,0,0.73,0,2.16,0,4.39,0,0.75
108-118,0,0,0,0,0.52,1.99,30.78,0,0,0,1.08,0,0,2.49,0.53,0,1.79,0,0,27.56,0,0,1.52,37.43,0,3.09,0.9,0,0,7.2,0,0,0.53,0,1.03,0,1.69,0,0.5
120,0,0,0,0,0,0,79.9,0,0,5.18,0,1.71,0,3.15,3.75,0,0,0,0,24.02,0,0,0,114.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
