stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,pgc,taste,vascular.smooth.muscle,vasculature
  3-4,0,174.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.49,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,5.66,0,6.54,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.33,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.72,0,0,0,53.77,1.11,0,0,0,0,0,0,0,0,1.22,0,1.31,0,0,0,0,0
 84-94,0,0,0,8.45,0,0,69.74,0,2.17,0,0,2.64,0,0,0,0,2.73,0,0,0,2.8,4.49,0,0.76
 96-106,0,0,3.66,2.12,0,0,210.52,0,0.66,1.58,3.01,0,3.87,8.84,11.2,0,6.6,0,0,0,0,0.75,1.82,8.58
108-118,0,0,7.32,13.18,1.71,0.41,306.62,0,3.02,0,0,0,0,0.87,0,0.63,11.01,0,0,0,0,9.28,0,1.47
120,0,0,2.79,7.67,0,0,112.33,0,0,0,14.37,0,3.23,8.07,0,0,4.7,0,0,1.86,0,7.95,0,0
