stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91,0,0,3.81,0,0,0,0,0,0
 10-12,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.95,0,0,0,0,1.94,0,0,0,0
 36-46,0,0,0,0,100.18,0,0,0,1.98,0,0,0,0,0,0,0,0,0,34.54,0,3.06,0,0,2.69,0,0,0,0
 48-58,0,0,0,0,193.91,0,0,0,6.39,0,0,0,0,0,0,0,0,0,41.89,6.25,0,0,0,1.74,0,0,0,0
 60-70,0,0,3.29,0,3623.5,0,0,0.68,15.45,0,0,0,0,0,0,4.93,0,0,145.15,0,0,0,0,12.09,0,0,0,0
 72-82,0,0,24.33,0.65,5621.48,0,0,0,29.11,0,0,0.54,2.88,0,0,53.83,0,0,315.2,0.57,0,0,0,11.79,0.75,7.55,2.35,0
 84-94,0,0,25.23,0,3618.4,0,0,0,13.03,0,0,0.62,0,1.55,0,82.15,0,3.02,266.27,0,0,0,1.84,18.2,0.69,0.8,0,4.79
 96-106,0.91,0,16.58,7.49,2130.23,0,2.86,0,48,0,1.06,0,0,0,0,27.38,1.02,2.7,143.7,0,0,0,0,9.17,0,1.61,0,0
108-118,0,0,20.25,2.3,1964.59,1.3,0.78,0,10.64,0,0,0,0,0,2.91,1.31,0,3.08,420.41,0,1.84,0,0,1.98,0,0.93,0,0
120,0,0,6.88,0,915.96,8.35,0,0,102.94,1.33,0,0,0,0,0,17.4,0,0,572.79,0,0,0,3.6,9.19,0,0,0,0
