stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,69.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.96,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,7.34,0,19.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.33,0,0,0,0,0,0,0,0,0,0,0,0,36.9,0,8.9,0,0,0,26.11,0,0,0,0,0
 14-21,0,2.4,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0.82,0,0,1.07,0,1,0,0,1.65,0
 24-34,0,1.43,0,0,0,0,0,0,0,5.05,0,0,0,0.64,0,0,0.81,0,0,0,0,0,0,0.71,0,0,0.8,0
 36-46,0,0.73,0,0.67,0,0,0,0,0,12.22,0,0,0,6.47,0,1.38,1.84,0,0,0,0,0,0,0,0,0,3.66,0
 48-58,0,0,0,0.64,0,0,0,0,0,1.87,0,0.37,0,2.59,0,0,6.36,0,0,0,0,0,0,0,0,0,1.06,0
 60-70,0,4.35,0,0,0,0,0,0,0.92,15.13,0,0,0,4.01,0,1.04,2.25,0,0,0,0,0,0,0,0,0,4.57,0
 72-82,0,5.32,0,4.74,0,0,0,0,0,24.31,0,0.69,0,5.33,0,0,0.59,0,0,0,0,0,0,0,0,3.87,42.08,0
 84-94,0,3.63,0,0,0.74,1.55,0,1.36,0,28.94,0.86,1.11,0,7.6,0,0,6.38,0,0,0,0.92,0,0,0,1.05,1.6,16.21,0.6
 96-106,0,6.49,3.82,13.05,0,0,8.19,0.78,0,29.78,0,0.82,3.87,13.38,0,5.79,0.9,4.09,0,4.98,0,0,0,0,0,0,12.41,2.78
108-118,0,6.07,0.71,0,0,0,0,0,0,25.43,0,0,0,9.91,4.2,1.87,3.92,0,0,1.6,0,0,0,0,0,0.44,13.85,3.1
120,0,7.5,0,6.61,0,0,3.65,0,0,36.45,0,0,0,41.91,0,0,25.63,0,0,0,0,0,0,0,0,0,18.65,4.27
