stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature
 14-21,0,1.25,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,1.04,0,1.38,1.55,0,0
 24-34,0,10.55,0,0,0,0,0.99,0,0,0,0,0,0,0,0,19.78,0,0,0,0.67,0,0.78,0,0
 36-46,0,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,161.14,0,0,0,0,0,8.06,0,0
 48-58,0,0.99,0,0,4.74,0,0.57,1.29,0.37,0,0,0.96,0,0,0,174.51,6.82,0,0,0,0,9.6,0,0
 60-70,0,0,0,0,9.55,0,0,3.54,0,5.32,0,1.68,0,0,1.14,387.22,0.66,0.89,0,0,0,2.72,0,0
 72-82,0,0.49,0,0,59.2,0,0,18.61,0,0,0,6.51,0,0,0.63,365.32,0,3.58,0,0.49,0,22.02,0,12.07
 84-94,0,10.7,0,0,17.27,0,0,4.39,0,0,0,1.08,0,4.86,0,280.22,0,1.95,0,0,0,4.99,2.09,1.3
 96-106,0,39.52,1.38,0.61,48.92,1.35,0,51.62,0,0,0.66,16.19,1.24,1.02,0,340.45,0,5.4,0,0,0,23.85,5.55,0
108-118,9.79,47.37,0,1.32,91.62,0,0,34.05,0,0,0,3.18,1.25,0,0,490.98,0.72,5.13,0,5.29,0,0,12.32,2.98
120,0,4.1,4.05,0,62.08,0,0,59.96,0,0,0,2.22,0,0,0,1120.66,0,8.6,0,0,0,8.77,0,2.98
