stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,paraxial.mesoderm,pericytes,periderm,vasculature
  5-6,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37,4.06,14.77,0,0,0
 10-12,0,0,0,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.66,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0.96
 36-46,0,0,0,0,0,0,1.66,0,0.91,0,4.27,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.94,0,0,0,4.24,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.9,0,5.49,0,0,0,17.16,0,0,0,0,0,0,0,0,0.7
 72-82,0,5.38,0,0,0,0,0.58,0,0,0,0,0,0,0,1.31,0,0,1.2,0,0
 84-94,0,0,0.92,0,0,0,17.56,0.89,1.03,0,0,2.39,0,0,2.95,0,0,0,0,1.73
 96-106,0,1.42,0,3.99,0,2.94,18.89,0,0,0.63,0.72,0,0,0.63,0,0,0,4,0,0
108-118,0,10.27,3.55,1.23,0,0,11.77,0,0.81,0,11.91,4.21,0.53,0,2.01,0,0,0,2.17,0.43
120,0,12.9,1.61,0,0,0,28.96,0,0,0,0,2.28,0,0,0,0,0,12.66,0,1.48
