stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,30.4,564.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,412.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,9.25,0,0,0,0,0
  7-9,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.87,10.18,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.71,0,0,0,7.93,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0.9,0,0,0,0,0,0,2.14,0,0,0
 24-34,0,0,0,0,0,0,0,0.66,0,0,0,0,8.8,0,0,0,0,2.35,0,0,0,0,0,0,0.83,0,0,0
 36-46,0,0,0,0,0,13.01,0,0,0,0,0,0,1.62,0,0,0,0,9.99,0,0,1.31,0,12.43,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,1.22,0.99,0,0,0,0,0,0.5,0,0.62,0
 60-70,0,0,0,0,0,2.32,0,0,2.72,0,0,0,18.45,0,0,0,0,2.52,0,0,0,0,0,0,0,0,0,1.82
 72-82,0,0,0,0,2.46,4.93,0,3.38,0,0,3.07,0,49.14,1.95,0,0,0,11.23,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.56,6.67,1.46,0,0,1.38,1.52,0,0,120.77,0,2.25,2.96,0,6.84,0,0,0,0,0,1.36,0,1.6,0.83,0
 96-106,0,0,0,0,11.45,10.98,0,3.65,2.17,0,0.65,0,220.04,0,13.95,0,5.36,43.03,0,0,0,0,4.09,0.57,0,0,0,0
108-118,0,0,0,7.21,1.23,16.58,0.47,0,0.41,0,1.66,0.67,464.45,0,11.99,0,0,39.22,0,0.81,0,0,4.76,0,0,0,0,0.93
120,0,0,0,1.76,0,3.48,3.3,2.47,7.38,0,0,0,225.13,0,0,0,0,3.87,0,0,0,0,0,2.89,0,0,0,0
