stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.94,176.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,62.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,0,0,0,7.81,0,0,10.61,0,0,0,0,0,0
 10-12,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22,0,0,0,10.45,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,0,0,30.22,0,0,0,0,0,0,0,0,0,25.58,0,0,0,0,27.32,1.22,0,0,0,0,0,0,0,2.74,0,0,0,250.04
 24-34,0,0,0.77,1.35,0,0,138.93,0,0,0,0,0,0,15.67,0,0,110.86,5.92,0.91,0,6.93,50.08,1.13,0,0,0,0,0.67,0,0,0,5.58,13.6,0,927.72
 36-46,0,0,0,0,0,0,119.13,1.13,0,0,3.25,0,0,14.17,0,0,229.55,2.23,0,0,1.65,19.69,0.88,0,0,0,0,9.96,0,2.11,0,5.5,0,0,986.3
 48-58,0,0,0,3.55,0,0,216.17,0,0,0.4,2.55,0,0,40.54,0,0,299.53,3.03,0,0,0,38.13,0,0,7.45,0,0.59,3.07,0,0,0,12.1,0,0,1184.06
 60-70,0,0,0,5.97,0,0,326.79,0,7.51,0,10.73,7.68,0,101.92,0,0,151.42,15.25,0,0,0,37.41,0.71,0,1.2,0,0,0,0,0,0,2.92,4.99,0.64,1010.75
 72-82,0,0,0,0,0.84,0,264.26,0,0,0,2.72,0,0,118.24,1.35,0,193.99,9.61,0,0,0.68,26.76,0,0.9,0,0,0,0,0,0,0,3.29,0,0,599.4
 84-94,0,0,0,7.95,0,0,509.75,2.14,0,4.65,7.09,1.52,0,222.94,0,0,460.04,4.98,0,4.89,0,21.32,0,0,1.4,0,0,4.54,0,0,0,4.85,1.01,0,379.25
 96-106,0,0,0,0,0,1.76,418.53,0,0,0.72,7.87,0.63,0.8,114.37,0,12.79,294.15,11.22,5.14,0,0,71.99,0,0,1.41,0,0,12.87,0,0,0,1.78,0,0,402.58
108-118,0,0,0,7.02,0,4.79,413.49,0,0,2.96,13.44,0,0,209.6,0,3.07,599.29,12.19,0,0,0,30.5,1.39,0,2.87,0,3.07,2.86,0,0,0,7.43,0,0,533.69
120,0,0,0,0,0,0,156.98,0,0,0,28.51,0,0,100.48,0,0,275.37,5.48,0,0,0,30.22,1.48,0,2.55,0,0,0,0,0,0,0,0,0,179.63
