stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.18,0,0,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,17.98,0,1.91,0,0.87,0,0,0,0,0,0,0,0,0,3.24,0,0,2.33,32.65,2.29,1.08,0,1.25,0,0,1.65,3.86,6.55,9.63,0,0,0,0,0
 24-34,0,0,1.47,33.79,0,3.07,0,2.6,0,0.9,0.63,0,3.52,0.76,0,4.67,0,26.04,0.84,0,10.07,117.6,0,5.72,0.6,0,0,0.85,0,0.76,7.18,16.72,0,0,0.77,0,0
 36-46,0,0,0,14.15,0,6.43,0,4.41,4.95,3.04,0,0.99,0.89,0,0,2.03,0,34.78,0,0,6.76,155.47,2.74,0,0,0,0,2.03,0,0,0,23.46,0,0,1.37,0,7.71
 48-58,0,0,0,43.76,0,12.82,0,8.7,2.62,8.33,1.98,0.89,1.41,0.49,0,2.37,0,28.4,1.63,2.15,9.1,225.55,0.43,0,0,0,0.56,1.91,0,0,0,27.91,0,0,0,0,39.76
 60-70,0,0,0,20.4,0,78.02,0,15.25,3.01,16.04,0,0.59,3.94,0.62,0,4.88,0,83.28,0.77,10.42,5.86,284.61,0,0,6.95,0,0,13.35,0,0,0,17.15,0,0.57,10.96,0.81,43.38
 72-82,0,0,0,20.06,0,147.61,0,16.46,2.22,41.62,0,0,11.4,1.06,0.5,13.72,0,88.93,0.73,1.53,6.71,383.9,0.61,0.79,0.51,0,0,0,0,0,0,14.33,0.62,0,3.41,0,9.17
 84-94,0,0,0,25.76,7.91,147.62,0.69,12.55,3.73,49.64,2.29,5.71,20.56,0.57,2.22,4.68,0,86.26,8.63,2.02,6.39,338.43,0.57,0.71,4.74,0,0,8.02,0,0,0,31.82,0,1.04,4.43,0,19.01
 96-106,0,2.13,0,38.98,8.26,151.99,0,6,0,58,2.99,2.63,12.04,4.09,0,10.92,0.67,82.73,0.67,1.49,8.59,281.98,1.56,3.05,3.3,0,0,5.19,0,0,0,12.51,0.68,0.71,0,3.66,10.71
108-118,0,0,0,69.99,1.04,140.34,0.65,26.48,4.28,73.36,0.9,0.8,19.76,5.74,1.22,8.5,0.89,102.37,1.91,3.73,1.51,312.29,0,10.18,7.01,0,0,10.17,0,0,0,10.39,1.01,4.38,3.33,3.51,25.66
120,0,0,0,129.55,2.68,108.6,0,55.05,0,67.55,4.28,0,66.13,7.83,0,9.5,0,144.67,1.15,10.4,0,745.75,21.29,16.29,13.95,0,0,12.62,0,0,0,46.39,2.82,6.77,17.08,3.36,31.74
