stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,107.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.83,82.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41,0,4.58,0,0,0,0
 10-12,0,0,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0
 14-21,0,0,6.8,0,11.26,0,0,0,1.61,0,4.19,0,0,0,0,0,0,0,0,0.87,0,0,0,1.6
 24-34,0,0,19.94,0,0,0,0,0,0,0,15.31,0,0,0,0,0,0.75,1.66,1.76,0,0,0,0.67,8.71
 36-46,0,0,10.52,0.65,0,0,0.8,0,0,0,13.49,0,0,0,0,0,0,4.5,0,0,0,0,2.46,9.29
 48-58,0,0,0.49,0,0,0,0,0,0.98,0,28.81,0,0,0,0,0,0,4.06,0.96,0,0,0,1.31,6.57
 60-70,0,0,1.14,0,0,0,0,0,1.29,0,14.82,0,2.79,0,0,0,0,8.38,0.81,0,0,0,0,0.71
 72-82,0,0,5.63,0,2.49,0.77,0,3.99,0,0,30.36,2.11,0,10.81,0,0,0,11.9,0,0,0.91,0,2.63,2.81
 84-94,0,0,3.53,0,0.76,2.37,0,0.7,0,2.61,81.23,0,0,2.6,0,0,0,12.66,0.75,0,0,0.57,0,7.72
 96-106,0,0,5.3,0,7.61,10.41,0,0,0,2.53,78.34,0,0,8.29,0,0.78,1.05,6.19,0.61,0,3.17,0,0,6.73
108-118,0,0,2.55,3.11,1.92,8.2,0,0,0,2.06,80.07,0,0,8.01,0,0,0,3.87,0.94,0,0.54,0,1.73,7.56
120,0,0,2.94,1.38,9.55,1.29,0,0,0,0,112.1,0,0,6.33,1.49,0,0,32.81,1.15,0,0,0,0,4.16
