stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,262.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.74,405.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,16.95,0,0,0,0,0,0
  7-9,6.36,11.75,6.96,0,0,0,15.27,0,0,0,0,0,0,0,0,0,0,0,135.67,0,0,29.23,0,0,0,0,0,0,0
 10-12,0,6.14,14.82,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,94.8,0,0,56.13,0,0,0,0,0,0,0
 14-21,0,0,0,5.35,1.95,0,0.92,0,0.99,0.82,0,0,0,0,0,0,4.15,0,38.23,4.85,0,0,1.28,4.11,1.04,0,3.74,7.21,0
 24-34,0,0,0,0.72,0,0,3.95,0,0,0,0,0,0,0,0.61,0,2.21,0.65,52.45,0,0,0,1.36,0,0,0.63,0.7,8,4.23
 36-46,0,0,0,0,0,0,6.83,0.8,0,0,0,0,0,0,0,0,2.51,5.16,28.96,0,0,0,0,0,0,0,0,1.65,0
 48-58,0,0,0,1.21,0,0,9.83,0,1.45,0.91,0,0,0,0,0,0,2.41,0.38,39.71,0,0,0,0,0,0,0,0,3.21,0
 60-70,0,0,0,0,0,0,6.23,0,7.64,0,0.7,0,0,0,0,1.72,0.61,0,16.12,0,0,0,0,0,0,0,0,3.63,0
 72-82,0,0,0,0,0,0,3.07,0,4.79,0,0,0,0,0,0,0,2.48,0,15.81,0,0,0,0,0,0,0,0,0.83,0
 84-94,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0.61,0,4.35,0,7.29,0,0,0,0.66,0,0,0,0,0,0
 96-106,0,0,0,5.29,0,0,5.66,0,1.22,0,0.76,0,0,0,0,0,5.67,0,5.69,0,2.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,4.41,0,6.78,0,0,0,0,0.49,0,0,3.15,0.47,10.31,0,0,0,0,0,0,0,0,0,1.02
120,0,0,0,3.12,0,1.14,0,0,4.04,0,0,1.47,8.38,0,0,0,1.78,0,19.5,0,0,0,0,0,0,0,0,0,0
