stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.31,0,0,0,0,0,0,0,0,0,0
  7-9,6.18,0,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.31,0,0,0,27.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.72,0,0,16.84,0,0,0,0,0,0,0,0,0,0,0,0,0,60.66,4.54,0,0,70.67,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,3.11,0,0.89,0,0,4.61,0,3.29,0,0,0,0,0,4.39,0,4.77,86.26,0,0,1.83,0,4.94,13.6,0,9.55,50.94,12.39,0,0,0,0,0
 24-34,0,0,0,2.76,0,3.66,0,0,6.92,0,0,0,0.74,0,0,0,7.29,0,0.66,389.35,0,0,1.36,0,6.5,0,0,0.65,8.68,42.18,0,0,5.12,0,1
 36-46,0,0,0,0,0,7.34,0.68,0.81,62.02,0,0,0,0,0,0.68,6.23,4.34,1.49,1.3,416.34,0,0,0.57,0,5.85,0,0,0,0,96.99,0,0,0,0,0
 48-58,0,0,0,0,0,12.05,0.57,0,117.1,0,0,0,0,0,0,0,9.96,0.81,11.08,140.45,0,0,1.09,0,8.25,0,0,0,0,49.51,0,0,0,0,0
 60-70,0,0,0,1.04,0,4.72,0,0,135.33,0.83,0,0.98,0,0,2.56,0.93,18.68,1.27,0.86,47.36,0,1.09,0,0,0,0,1.95,0,0,28.59,0,0,0,0,0
 72-82,0,0,0,2.18,0,11.24,0,0,89.22,0,0,0,0,0,0.67,0,6.36,0,1.53,35.92,0,0,2.74,0,0,0,0,2.66,0,4.34,1.69,1.19,0,0.71,0
 84-94,0,0,0,1.11,0,12.79,0,5.18,77.05,0.94,0,0.78,0,1.02,0,0,9.6,0,3.81,45.87,0,2.89,4.23,0,2.17,0,0,0,0,14.73,0,0,3.23,2.46,0
 96-106,0,0,0,0,0,11.71,0,0,44.33,3.37,0,0.59,0,1.5,0,0,6.91,0,1.24,41.87,0,0,0,0,2.35,0,0,0,0,0,0,0,1.07,0,1.93
108-118,0,0,0,1.74,0.9,16.65,0,0,42.77,0,0,0,0,0.41,1.23,0,9.46,0,2.48,29.52,0,0,1.59,0,1.02,0,0,0,0,1.76,0.47,0,0,0,1.16
120,1.12,0,0,1.33,0,0,0,0,144.95,0,0,0,0,0,0,0,4.98,1.12,0,31.53,2.47,0,8.05,0,2.47,0,0,0,0,7.49,0,0,0,0,0
