stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord
  3-4,12.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,10.93,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.34,0,3.32,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,9.31
 24-34,0,0,0,0.74,0,0,0,0,1.65,0,0,0.82
 36-46,0,0,0,0,1.39,0.81,1.65,0,2.15,0,0,0.57
 48-58,0,0,0,0.53,0,1.45,0,0,7.9,0,0,0.59
 60-70,0,0,0,0,0,0,0,1.76,13.15,0,0,0
 72-82,0,0,0,0.71,0,0.62,0.85,0,0.53,1.64,0,0
 84-94,0,0,0.56,0,0,0,0,0.56,0.61,0,0,0
 96-106,0,0,0,0.8,0,0,0,0,2.67,0,0,0
108-118,0,0,0,0,0,0,0,0,6.69,0,0,0
