stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,348.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.59,0,0,7.4,0,0,0,0,0,0,0,0,0,0,38.6,5.52,0,3.49,0,0,0,0,0,0,0,0
 10-12,0,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,97.18,4.45,0,15.47,0,0,0,0,0,0,0,0
 14-21,0,0.95,2.45,0.84,0,0,0,0,0,0,6.64,11.55,0,0,1.16,26.53,0,0,0,0,4.99,4.04,5.82,1.93,0,0,0
 24-34,0,0,0,0.66,1.87,0,0,0,0.76,0.72,0,18.26,0,0,6.07,6.99,0,0,0,0,17.61,0,0,2.77,0,1.9,0
 36-46,0,0,1.16,0,2.81,0,0,0,4.17,0,0,33.97,0,0,1.22,19.17,0,0,0,0,9.5,4.82,0,1.5,0,0.77,0
 48-58,0,0,0.39,0,3.08,1.22,0,0,0,0,0,29.58,0,0,2.71,7.26,0,0,0,0,19.86,0,0,1.75,0,1.61,0
 60-70,0,0,7.25,0,2.32,0.58,0,0,0.6,0,0,42.63,5.63,0,6.02,7.41,0,0.99,0,0,4.3,0,0,1.94,1.19,0,0
 72-82,0,0,0,0,0,0,1.34,0,5.95,0,0,36.32,0,0,2.51,8.42,0,0,0,0,3.74,0,0,0,0,0,0
 84-94,0,0,1.7,0,0,0,7.47,0,0.98,0,0,12.04,0,4.52,1.44,8.39,0,0,0,0,22.65,0,0,0,0,1.08,1.74
 96-106,0,0,0,0,1.52,0,2.6,0.7,1.34,0,0,10.84,1.23,0,2.35,5.31,0,0,0,0,19.01,0,0,0,0,0.99,0
108-118,0,0,2.78,0,0,0,3.67,0.43,0,2.3,2.7,20.07,0.52,9.86,2.05,9.78,0,0,0,1.63,18.86,0.44,0,0,0,0.63,0
120,0,0,0,0,0,0,12.14,0,0,1.29,0,12.77,0,2.22,2.98,10.28,0,0,0,0,3.72,0,0,0,0,2.48,0
