stage,blastomeres,eye,neural,notochord,paraxial.mesoderm
  3-4,11.47,0,0,0,0
  7-9,0,0,3.98,13.62,4.79
 10-12,0,11.44,15.75,0,0
 48-58,0,0,7.69,0,0
