stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,11.43,209.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,0
  5-6,9.41,75.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.86,0,0,0,0,0,0
 10-12,0,0,4.52,0,0,4.03,0,0,0,0,0,0,0,0,0,9.15,0,10.17,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,17.93,0,0,0,0,2.14,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,20.19,0,0,2.14,0,1.91,1.26
 36-46,0,0,0,0,0,4.36,0,0,0,0,0,0,1.47,0,0,22.31,0,0,0,0,4.59,0
 48-58,0,0,0,0,0.42,8.03,5.2,0,0,0,0,0,1.05,0,0,22.52,0,0,0,0,2,0
 60-70,0,0,0,0.57,3.92,5,0,0,0,0,0,0,2.15,0,0,9.16,0,0,0,0,10.11,2.21
 72-82,0,0,0,0,7.25,2.95,0.93,0,0,0,0,0,0.64,0,0,17.69,0,0,0,0,0,0
 84-94,0,0,0,0,8.03,1.67,8.09,5.84,5.85,0.73,1.09,0,1.98,0,0,6.59,1.18,0,0.61,0.56,0,0
 96-106,0,0,0,18,32.53,7.56,0,90.4,0.8,0,0,0,150.84,0,2.61,11.18,0,0,4.62,0,0,0
108-118,0,0,0,0.44,34.82,1.23,0.44,47.26,3.14,0,0,0,18.69,1.08,0,9.52,0,0,1.24,0,4.64,0
120,0,0,0,2.16,3.12,15.23,2.63,74.83,0,0,0,5,0,0,2.44,11.33,0,0,0,0,0,0
