stage,epidermis,erythrocytes,eye,glial,gut,mesenchyme,mucous,muscle,neural,notochord,olfactory,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,2.09,0.81,0,0,0,1.46,1.46,0,0,0,1.15,0,0,0
 24-34,0,0,0.98,0,0,0,0,0,3.3,0,0,0,0,1.9,0,0
 36-46,0,0,0,0,0,0,0,0,16.59,0,0,0,0,1.99,0,0
 48-58,0,0,0.9,0,0,0,0,0,21.93,6.32,0,0,0,8.29,0,0
 60-70,0,0,1.67,0,0,2.23,0,2.15,17.65,0,1.48,1.06,0,2.15,0,0
 72-82,2.64,0,3.43,2.4,0,1.64,0,0,26.7,0,0,0,0,3.45,1.75,0
 84-94,0,0,2.07,0,0.98,0,0,0,4.51,0,0,0,0,0,0,6.47
 96-106,0,0,10.01,1.33,0,1.24,0,0,29.68,0,0,0,0,0,0,0
108-118,2.26,0,8.75,1.06,0.65,7.67,0,0,3.54,0,0,0,0,0,0,0
120,0,9.78,5.98,0,0,3.48,3.54,0,12.5,0,0,0,0,0,0,15.22
