stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.14,214.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.47,194.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.29,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,5.93,0,0,5.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.09,0,0,1.49,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0.85,4.64,0,0,0,0,0,0,0.9,0,3.23,0,0,0,0,0
 24-34,0,0,0,1.54,0,0,5.42,0,0,0,0.73,0,0,6.6,0,0,1.08,0,0.6,0,0,0,12.91,0,0,1.32,0,0,0.72,0,1.32,6.27,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.33,0,2.07,0,0,0,0.57,0,0,0,0,0,1.45,0,0,0,26.6,0,0,9.6,0,0,0,0,0,2.98,0,0,0,0,0.57
 48-58,0,0,0.46,0,0,0,9.79,0.62,0,0,0,0,0.64,0,0,0,0.41,0,0,0.57,0,0,82.84,0,1.5,0,0,0,0,0,0,8.26,0,0,0,0,0
 60-70,0,0,0,0,3.27,0,43.47,0,0,6.42,3.17,0,0,0,0,0,0,3.09,0.79,0,0,0,117.05,0,6.4,2.2,0,0,0,0,0,7.12,0,0,0,0,0
 72-82,0,0,0,3.31,0.96,0.74,92.35,0,0,13.29,1.73,0,1.35,2.95,0,0,0,2.38,5.77,0,0,0,154,0,1.59,2.52,0,0,0,0,0,9.54,0,0.56,0,0,0
 84-94,0,0,0.73,0,0,0,75.68,0,0,8.25,3.45,1.3,0.82,0,0,0,0,0,3.1,1.39,0,0,131.32,1.25,0,2.84,0,0,1.83,0,0,0,0,0,0,0.66,0
 96-106,0,0,0.87,0,5.98,1.27,181.51,0.59,0,21.04,2.15,1.32,0,0,0,0.91,0.71,1.85,3.59,0,0,0,101.36,0,4.92,2.76,0,0.87,2.58,0,0,7.14,0,0,0,0,0
108-118,0,0,0,0,4.36,0,429.53,1.7,0,24.84,18.5,0,2.18,0,0.89,0.63,0.67,3.08,4.87,0,2.74,1.21,208.59,0,2.02,4.82,0,0,0.82,0,0,0,0,0.53,2.35,0.7,2.33
120,0,0,0,0,0,6.44,363.24,0,0,63.61,11.3,0,0,0,0,0,1.74,10.57,8.44,0,0,0,466.53,0,0,0,0,0,1.24,0,0,14.31,3.24,0,0,0,0
