stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.56,0,0,0,4.91,0,0,0,0,0
 36-46,0,0,0,0,18.16,0,0,26.69,0,0,0,0,0,0,0,0,6.9,0.68,1.58,352.19,0.6,0.64,0,44.11,0,0,0,0,0
 48-58,0,0,2.62,0,68.92,0,0.44,66.19,0,0.44,0,0,0,0.45,0,0,26.76,3.88,10.38,643,0.65,0,0,113.91,0,0,4.63,0.78,0
 60-70,0,0,2.64,0,109.41,2.87,0.63,86.23,0,0.87,0,0,0,1.79,0,0,74.86,9.69,1.53,714.68,0,2.81,1.44,107.41,0,4.4,2.83,0,7.51
 72-82,0,0,2.82,0,159.98,0,2.96,67.67,0.65,0,0,0,0,0.53,4.69,0,48.04,19.3,5.74,627.88,0,4.12,0,65.06,0,3.17,6.15,0.54,0
 84-94,0,0,6.33,0,76.05,0,1.85,37.31,0,1,0.64,1.07,4.06,0,0.57,0,42.97,2.41,3.87,401.16,0,1.82,1.75,27.2,0,7.01,10.45,2.06,0
 96-106,1.68,0,1.69,4.93,64.5,0,0,27.02,0,1.3,0,0,0,0,0,0,41.81,6.7,1.09,287.82,0,0,0,11.93,0,0.75,3.04,2.6,0
108-118,0,0,4.5,0,76.26,0.68,0.73,30.51,0,2.01,0,0,1.33,0,1.5,1.25,57.42,2.57,6.24,370.12,5.27,6,8.18,22.29,0.68,2.65,7.9,0,0.42
120,0,1.28,24.3,0,112.04,0,5.27,95.24,0,0,0,0,0,0,0,0,93.4,16.48,12.4,678.93,4.97,2.85,0,12.74,0,0,3.67,3.93,0
