stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,30.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.37,0,0,7.14,0,0,0,0,0,0
 14-21,0,0.89,1.1,1.8,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.42,3.27,0,0,0,0,0,0.59,11.37,9.77,0,0,0,0,1.54,5.66,0.73,1.2,0
 36-46,0,0,0,1.28,17.82,0,0,0,0,0,5.33,2.01,13.67,0,0,0,0,9.72,0.6,1.13,0,0
 48-58,0,0,2.22,2.09,7.73,2,4.6,0,0,0,3.7,1.44,11.17,0,0,0,0,3.22,0,2.52,0,4.4
 60-70,0,0,0,0,16.34,0,0,0,1.16,0,0.72,1.25,33.1,0,0,0,0,4.53,0,0,11.78,0
 72-82,0,0,0,3.34,6.55,0,0,0,0,0,0.74,0,9.54,0,0,0,0,2.61,0,0,0,2.96
 84-94,0,0,0,15.25,14.73,0,0,0,0,0,1.31,6.38,0,0,0,0,3.25,4.08,0,0,1.2,0
 96-106,0,4.79,0,14.9,8.6,0,0,1.29,0,1.6,3.09,5.06,24.86,1.08,0,0,0,1.25,0,10.7,0,1.91
108-118,0,1.64,0,1.93,7.91,0,0,0.76,0,1.6,0.92,5.8,12.41,0,0.98,0,0,1.07,0,0,0,0
120,0,0,0,0,31.17,0,1.66,0,0,0,12.15,2.82,3.38,0,0,0,0,5.59,0,0,0,0
