stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38,0,0,0,3.75,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.54,2.88,0,0,0,0.87,0,3.64,0,0,0,0,0,0,0,0,4.52,0,0,0,51.17,0,0,0,0,0,0,1.12,0,0,1.02,58.26,0,0,0,0,0
 24-34,0,4.55,1.3,9.27,0,0.62,0,4.81,0,0.67,0,1.06,0,0,0,0,0.77,0,5.2,0,0,4.05,242.92,0,0,0,0,0,0,0,0,0,0.63,147.21,0,0,0,0,0
 36-46,0,6.01,0,0.87,0,25.9,0,0,0,16.19,0,0.82,0,0,0,0,0,0,1.28,0,0,0,264.69,0,0,0,0,0,0,0,0,0,0,215.37,0,0,0,0,0
 48-58,0,2.62,0,0,0,186.42,0,1.55,0,9.14,0,0,0,0,0,0,1.86,0,18.28,0,0,5.67,580.22,5.66,0,0,0,0,0.46,0,0,0,0,146.2,0,0,1.41,0,0
 60-70,0,0.9,0,0,0,952.38,0.64,3.51,0,14.59,0,0,0,0,9.62,0,0,0,9.61,0,0,1.93,981.63,0,1.55,0.89,0,0,0,0,0,0,0,161.96,0,0,3.17,0,0
 72-82,0,0.87,0,8.97,7.19,1917.25,0.91,3.85,0.91,49.23,1.68,0,0,0,0,0,0,0,50.91,0,4.37,1.24,1496.52,0,0,0,0,1.4,3.62,0,3.04,5.35,0,206.63,2.32,0.66,0,2.88,12.9
 84-94,0,1.38,0,10.64,4.76,1301.25,0,0,4.19,50.31,0.9,0,0,0.6,1.29,0,4.25,4.39,48.71,2.28,12.51,0,1130.45,0,0,1.22,0,0,0.75,0,0.62,0,0,110.47,0,3.21,2.92,1.85,0
 96-106,0,1.04,0,7.72,7.61,1700.99,1.3,3.98,1.4,91.64,0,0,0,0,0,1.4,1.54,0,45.96,0,5.17,6.5,1043.8,4.22,0,1.73,0,0,9.82,0,0,1.52,0,86.27,0,0,0.67,0,0
108-118,0,0.54,0,19.47,1.86,2324.74,1.3,1.12,5.94,87.43,0.86,0,0,0.63,2.37,0,11.97,0.78,82.39,0,1.62,5.27,1201.83,0.47,0,0,0,0,5.95,0,1.1,0.9,0,78.8,0.68,0,4.95,1.62,3.84
120,0,9.35,0,0,5.28,1659.97,0,23.76,10.02,117.14,6.84,0,13.26,0,0,0,7.84,0,55.27,0,11.56,5.43,1950.41,1.33,2,0,0,0,25.2,0,0,0,0,93.85,0,0,0,0,0
