stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,169.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.75,0,0,0,0,0,0,0,0,0,0
  5-6,7.08,255.69,0,0,0,0,0,0,0,0,0,0,34.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.9,17.94,0,6.95,0,0,72.96,0,0,0,0,0,9.86,0,0,0,0,0,0,0,0,349.12,20.79,0,0,103.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.07,0,0,32.75,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,376.61,7.08,0,0,98.33,0,6.79,0,19.83,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,10.73,3.24,3.75,0,0,0,1.39,0.83,0.93,0,0,0,0,0,5.75,0,4.07,78.11,2.34,0,1.54,4.21,0,0,9.02,0,10.1,21.46,0,0,0,0,0
 24-34,0,0,0,0,5.7,0,12.86,0,0,2.54,5.25,0,0,0,0.68,0.62,0,0,19.54,0,0.73,155.98,0.7,3.28,1.53,0,6,0,0,0.83,2.51,29.97,0,0,3.77,0,1.1
 36-46,0,0,0,0,0,0,20.88,0.85,0,0,4.05,0,0,0,0,0,0,0,9.96,0,4.22,124.13,1.71,0,0.67,0,17.13,0,0,0,0,26.57,0,0,0,0,0
 48-58,0,0,0,0,1.83,0,54.31,1.6,0,0.89,28.27,0,0,0,0,0,3.7,2.27,17.49,1.74,2.59,147.99,0,1.85,0,0,4.79,0,0,0,0,26.86,0,0,0.8,0,0.48
 60-70,0,0,0,0,3.02,0,82.35,0,0,1.23,11.74,0,0,0,3.75,5.27,0,4.22,29.6,0,2.16,109.87,6.77,1.17,0,0,2.94,0,0,0,0,14.62,2.13,1.03,0,0,0
 72-82,0,0,0,0,1.99,2.36,70.48,0,0,0,15.8,0.66,0,0,0,0,0,0,28.13,0,2.84,83.49,0,0,0,0,8.23,0,0,0.76,0,11.91,0,0,0.86,0,6
 84-94,0,0,0,0,1.9,2.73,55.2,0,0,1.13,9.25,0,0,0,2.46,1.99,0.64,0.57,27.59,0,0,59.18,1.94,0,0,0,3.92,0,0,0,0,5.34,1.46,0.58,4.22,0,0
 96-106,0,0,0,0,0,8.95,34.12,0,0,0,6.92,0.79,0,0.71,0.59,4.62,1.03,0.93,18.03,0,1.5,44.32,0,3.02,0,0,9.58,0,0,0,0,0,2.08,0,4.59,1.13,0
108-118,0,0,0.47,0,5.1,0,37.49,0,0.55,0,7.1,5.66,0,0,1.59,2.01,1.33,0.48,22.63,0,0.96,71.93,0,0.41,0,0,3.43,0,0,0,0,0,0.68,0,0,0,0
120,0,0,0,0,1.08,1.56,38.07,0,0,0,14.28,1.21,0,0,1.6,0,0,1.5,15.53,0,1.62,72.18,3.03,0,0,0,0,0,0,1.12,0,0,0,0,13.91,0,0
