stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,immune,mesenchyme,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,70.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,154.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,31.14,0,13.04,0,0,0,0
 10-12,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,1.57,2.13,0
 24-34,0,0,0.88,0,0,0,0,0,0,0,1.36,1.12,0,0,0,0,1.5
 36-46,0,0,7.83,0,3.13,0,0,0,0,0.94,12.3,0,0,0,0,0.93,0
 48-58,0,0,0,4.71,0,0,0,1.68,0,0,8.82,0,0,0,0,1.66,0
 60-70,0,0,0,0,2.52,0,0,0,0.63,0,3.34,0,0,1.32,0,4.24,0
 72-82,0,0,0,0,3.61,0,0,0,0,0.59,0.61,0,0,0,0,0,0
 84-94,0,2.24,0.55,0,0,0,1.21,4.58,0,0,0.57,0,0,0,0,0,0
 96-106,0,0,0,0,1.01,0,0,0,0,0,2.28,0,0,4.02,0,4.77,2.12
108-118,0,0,0.96,0,0,8.24,0,0,1.51,1.74,3.49,1.13,0,5.63,0,0,0
120,0,0,0,0,1.4,0,0,8.16,0,0,12.18,0,0,9.26,0,0,0
