stage,axial,blastomeres,eye,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord
  3-4,45.08,710.4,0,0,0,0,0,0,0,0,0,0,33.04,0,0,0,0
  5-6,28.05,435.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,0,3.23,0,0,0,30.98,0,0,7.55,0,14.4,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.99,0,0,27.81,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,9.37,1.04,0.94
 24-34,0,0,0,0,0,0.61,0,0.69,7.89,1.36,2.87,0,0,0,0,0,1.16
 36-46,0,0,0.68,0,0,0,3.34,0,18.63,2.03,2.33,0,0,0,0,0,2.6
 48-58,0,0,0,3.71,0,0,0,0,23.3,0,1.57,0,0,0,0,0,0
 60-70,0,0,6.2,0,0,0,0,1.46,40.69,0,1.25,0,0,0,0,0,0
 72-82,0,0,2.61,0.66,0,0,2.72,1.02,30.41,0,8.79,0,0,0,0,0,3.8
 84-94,0,0,5.07,0,0,0,0.83,0,22.61,0,25.25,0,0,0,0,0,0
 96-106,0,0,3.54,2.35,0,0,5.48,0,38.04,0,12,0,1.25,0,0,0,0
108-118,0,0,4.49,1.27,0,0,2.47,0,28.23,0,22.24,0,0.63,0,0,0,0
120,0,0,0,0,0,2.26,6.38,0,64.47,0,7.51,0,0,0,0,0,0
