stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,32.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.51,0,0,9.76,0,0,6.23,0,0,0,0,18.66,0,0,0,0,0,0
 10-12,0,0,0,0,8.23,0,0,0,0,0,0,0,18.71,0,0,7.23,0,0,0
 14-21,0,0,1.32,0,0,0,0,0,0,0,0,0,3.38,0,0,0,2.95,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,1.1,0.84,0,1.11,0,0,0,0,1.97,0
 36-46,0,0,0,0,0,0,0,0,0,7.56,0,0,1.45,0,0,0,0,0,0
 48-58,0,0,1.83,0,0.42,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0
 60-70,0,0,0,0,3.81,0,0,0,0,1.9,0.76,0,1.21,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.64,0,0,12.83,4.04,0,2.5,0,0,0,0,0,0
 84-94,0,0,0,3.53,1.15,0,0.61,0,0,28.06,1.18,0,1.15,0,0,0,0,0,0
 96-106,0,0,0,1.66,0,0,0,0,0,90.22,3.77,0.59,11.97,2.74,0,0,2.51,0,0
108-118,0,0,0.63,0,0.58,3.64,0.79,0,0,177.5,3.27,0,9.43,0,1.04,0,0.43,0,0
120,0,0,0,6.16,0,0,0,0,2.6,134.45,0,0,13.89,0,0,0,0,0,1.15
