stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.32,8.85,168.61,19.33,0,15.65,0,0,0,0.84,2.73,9.1,0,0,8.48,0,0.92,0,0.89,43.92,0.98,0,79.6,264.6,126.29,4.68,10.28,10.31,0,64.88,0,26.64,5.95,7.43,33.03,58.14,0,0,1.84,0,0
 24-34,0,0,3.76,39.51,0,0,50.53,0,3.38,0.62,3.22,6.81,1.74,0,0,19.08,0,1.67,3.27,0.73,185.69,4.52,0,108.55,296.9,23.23,30.65,7.98,0,0,123.51,0,0,0.6,0,1.8,14.21,0,0,6.91,0,0
 36-46,0,0,0.96,26.05,0.81,0,62.31,0,0.68,4.17,13.32,2.43,0,0,0,4.54,0,1.82,2.49,6.08,189.86,2.37,2.33,59.08,203.44,19.02,20.75,10.01,0,0,141.54,0,0,1.49,5.79,0,23.82,0,0,0,0,0
 48-58,0,0,0.53,23.59,0.87,0,60.88,0,8.34,0.43,22.99,0,4.69,0,0,6.09,5.36,8.07,13.32,0,172.98,5.16,0.5,39.55,232.92,4.01,18.68,14.35,4.77,0,98.04,0,0,1.33,6.09,0,12.63,0,0,3.99,0,1.8
 60-70,2.52,0,0,24.93,3.26,0,96,0,8.18,0,41.41,11.36,1.71,0.92,0,6.28,0,0.84,0,0,249.86,3.35,10.99,37.64,132.35,15.56,16.56,4.8,0,0,104.71,0,0,0,3.5,0,22.91,1.22,0,0,0,0
 72-82,0,5.53,0.56,32.79,9.23,0,58.27,0,8.66,3.65,20.97,12.45,0.52,0,0.68,7.55,0.93,5.81,0,0,254.13,8.7,0.74,27.16,120.9,2.28,32.28,15.84,0,1.78,60.01,0,0,0.49,6.3,0,12.49,7.88,1.23,1.49,0.58,0
 84-94,0,5.21,0,42.69,31.62,1.54,58.64,2.02,5,3.98,19.38,8.76,0.71,0,5.68,4.58,0,5.87,6.85,0,208.28,6.63,6.08,50.17,98.32,5.86,37.63,15.04,0,0,158.86,0,0,3.74,5.42,0,17.44,10.69,1.79,0,0,9.28
 96-106,0,3.96,0,54.07,7.78,2.86,35.83,6.01,8.62,0,33.91,23.62,0,0,1.38,9.66,1.84,22.9,2.33,0,152.29,14.8,7.78,16.17,93.06,3.02,53.46,18.44,0,0,138.71,1.35,0,0.68,0,0,9.82,5.86,3.94,1.21,4.98,0
108-118,0,3.7,1.23,56.2,24.43,13.6,62.25,1.76,3.12,0.74,24.54,16.41,0,0,0,10.32,0,5.43,0.88,0,229.63,4.54,0.66,24.53,100.24,5.87,25.14,12.75,0,0,81.37,0,0,5.29,0.44,0,1.75,5.29,0,0.78,1.51,0
120,0,6.84,0,99.37,0,3.31,62.95,0,10.28,0,20.21,30.32,0,0,1.19,10.87,0,12.19,0,0,233.86,20.15,20.92,31.25,133.06,7.28,11.57,4.56,0,0,134.84,0,0,0,1.69,0,0,6.88,10.8,0,1.8,0
