stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.56,0,0,0,11.25,0,0,0,0,0,0,37.65,0,0,30.72,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,36.41,0,0,57.74,0,0,0,0
 14-21,0,0,1.04,0,3,0,0,1.03,0,0,0,28.57,1.25,0,0,0,3.7,3.78,0
 24-34,0,1.45,0,0,2.87,0,0,2.43,0,0,0.68,17.96,0,0,0,0,1.64,1.21,0
 36-46,0,0,0,0,3.23,1.31,0,0,0,1.06,1.79,12.23,0,0,0,0,0,1.93,0
 48-58,0,0,0,0,5.72,1.36,0,1.91,0,0,0,16.67,0,0,0,0,0,1.63,0
 60-70,0,0,0,0,8.09,0.84,0.6,0.61,0,0,0,6.61,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.36,0.91,0,2.68,0,4.32,0,6.75,0,0.7,0,0,0,0,0
 84-94,0,0,0,0,1.17,0.95,0,0,0,0,0,18.27,0,0,0,1.44,0,0,1.06
 96-106,0,2.49,0,0,0,0.95,0,0.83,0,0,0,20.34,0,0,0,0,0,0,0
108-118,0,3.15,0,1.54,3.66,0,0,10.35,5.12,0,1.31,7.89,0,0.85,0,3.26,0,0,0
120,0,0,0,0,1.73,0,0,1.25,0,0,3.42,11.82,0,0,0,0,0,0,0
