stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,slow.muscle,spinal.cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,2.46,1.13,3.41,0,0,0,3.47,1.14,0
 60-70,0,0,0,12.54,0,0,0,0,0,3.55,18.99,0,0,0,0,0.65,0,0
 72-82,0,0,0,40.94,0,0,0,0,0,12.02,4.83,0,0,0,0,0,0,0
 84-94,0.7,0,9.49,83.16,0,0,0,0,0,1.85,6,2.29,1.1,0,0,6.66,0,0
 96-106,1.09,1.6,0,179.9,1.87,5.04,1.9,0,1.98,0,4.85,3.67,0,0,1.2,0,0,5.74
108-118,0,0,1.56,198.13,0,0,0,0.74,0,0,23.06,7.77,0,0.52,0,4.16,0,0
120,0,0,0,117.14,0,4.03,0,0,0,0,12.58,17.5,0,0,0,1.54,0,0
