stage,axial,blastomeres,endoderm,epidermis,neural,paraxial_mesoderm,pronephros
  3-4,0,106.26,0,0,0,0,0
  5-6,0,96.64,0,0,16.38,0,0
  7-9,4.36,6.82,5.32,0,59.12,8.28,0
 10-12,0,0,19.43,0,81.31,28.83,9.53
 24-34,0,0,0,1.38,0,0,0
 36-46,0,0,0,0,0.61,0,0
