stage,blastomeres,endocrine_pancreas,erythrocytes,eye,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.71,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0
 24-34,0,0.8,0,0,0,0,0,0,0,17.03,0,0,3.99,0,0,0,0,3.27
 36-46,0,0,0,1.56,0,0,0,0,0,104.64,0,0,3.62,0,0,2.5,0,0
 48-58,0,0,0,1.65,0,0,2.45,0,0,130.54,3.51,0,1.62,0,0,0,0,0
 60-70,0,0,0,3.09,0,0,0,0,0,87.21,0,0,1.14,0,0,0,0,0
 72-82,0,0,6.48,4.48,0,0,4.54,0,0,66.32,1.5,0.71,7.16,0,0,0,0.5,0
 84-94,0,2.22,0,0.85,4.31,0,8.36,0.62,0,91.51,0,0,2.64,0,0,0,1.17,0
 96-106,0,2.03,4.76,0.73,0,0,0.83,0,0,45.08,0.68,0,8.96,8.25,1.06,0,0,0
108-118,0,3.65,1.41,0,0,0.7,0.65,1.65,0.56,72.99,2.12,0.72,0,4.16,0,0,0,0
120,0,1.73,0,0,0,0,3.12,0,0,30.6,7.59,0,0,0,0,0,0,0
