stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,16.6,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7,0,0,0,7.39,0,0,6.56,0,12.63,0,0,0,0,0,0,0,0
 14-21,0,0.82,2.04,42.76,35.5,4.58,0,0,0,1.08,1.84,0,2.25,0,0,0,0,0,198.51,0,0,157.37,115.86,2,0,0,0.84,0,1.11,0,2.21,7.58,0,34.99,17.42,0,0,0,0,4.31
 24-34,0,0.84,4.33,2.8,2.98,4.45,0,0,8.86,3.58,4.44,0,4.59,0,0,0,0,6.32,421.57,0,2.32,150.87,120.08,0,0.96,0.8,0,0,0.97,0,0,16.79,2.19,13.53,9.44,0,0,1.77,0,2.11
 36-46,0,0,0,4.06,0,23.06,0,0,20.42,1.97,0,0,9.04,0,0,0,0,12.12,620.37,0,9.4,138.73,154.4,1.25,0,0,0,0,2.42,0,0,20.68,0.7,0,11.75,0,1.37,2.02,0,0
 48-58,0,0,0,4.72,0,74.83,0,3.19,25.71,9.91,1.02,0.54,6.67,0,4.35,0,1.41,5.24,710.2,0,38.96,78.44,127.83,0,0,0,0,0.46,0,0,0,5,0,0,9.85,0,1.4,3.46,0,13.76
 60-70,0,10.91,0,16.86,0,89.54,0,8.39,27.38,6.76,0.62,0,4.27,3.46,0,0,2.4,4.9,1339.55,0,60.05,54.89,157.68,0,0,0,0,6.32,0.66,0,0,4.84,0,0,16.4,0,20.04,3,9.32,7.16
 72-82,0,0,0,3.96,6.69,87.89,0,7.4,39.49,8.1,0.67,0,4.46,0,3.71,0,7.64,9.86,1589.62,0,37.09,55.43,90.74,0,0,0.5,0,5.18,0,0,0,3.03,0,0,5.92,0.78,28.85,2.23,36.57,0
 84-94,0,1.01,1.01,13.6,0,83.87,1.89,0.63,42.76,5.58,2.36,0,9.83,0,6.66,0.73,4.93,7.68,1331.08,0,61.35,36.84,118.6,0,0,0,0,11.62,5.47,0,0,2.23,0.63,0,3.52,0,47.5,3.68,40.87,1.02
 96-106,0,0,0,7.41,2.2,64.37,0,0,16.55,12.22,0,0,13.68,0.73,4.35,1.17,8.49,10.79,1162.57,0,52.38,27.47,95.36,0,2.87,2.1,0,21.83,0,0,0,5.55,0,0,0.63,1.68,41.62,4.34,34.17,1.24
108-118,0,0,0,5.73,0.58,40.57,0,0.78,26.42,11.34,6.3,0,3.05,0.47,3.37,0,13.51,11.14,1500.22,1.92,30.26,37.97,117.63,0,1.69,0.92,0,15.46,0,0,0,8.04,0,0,0,0,62.57,0,28.93,5.38
120,0,0,0,14.68,0,37.16,0,0,12.1,9.53,2.7,0,4.37,2.91,0,0,8.11,1.61,1041.65,1.56,34.7,34.35,110.77,0,0,9.06,0,17.12,0,0,0,2.7,0,0,11.81,0,40.58,0,39.18,0
