stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,heart,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,36.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.25,23.06,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.46,6.99,0,0,0,0,23.45,3.87,0,0,0
 10-12,0,0,0,0,0,0,0,0,36.5,12.89,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,8.31,0,0,0.9,0
 36-46,0,0,0,0,0,0,0,0,8.5,0,0,0,2.81
 48-58,0,0,0,1.08,0,0,0,0,4.33,0,0,0,0
 60-70,0,0,0,1,0,0,0.62,0,1,0,0,1.31,0
 72-82,0,0,0,0,0.62,0,0.97,0.55,4.21,0,0,0,0
 84-94,0,0,0,0,0,1.52,0,0,1.59,0,0.8,0,0
 96-106,0,0,0,0,0,0,0,0,0.62,0,0,0,0
120,0,0,0,0,0,0,0,0,4.11,0,0,0,0
