stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.98,0,0,0,0,16.09,0,0,0,0,0,0,0,0,0,0,40.85,0,0,11.71,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64,0,0,16.66,0,0,0,6.11,0,0,0,0
 14-21,0,0,0.83,4.35,3.1,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,7.5,0,0,0,0,0,0,2.73,0,1.25,0,0
 24-34,0,1.35,0,0.76,0,0.71,0,0,0,0,0,23.52,0,0,0,0,0,2.66,0,0,0,8.36,0.73,0,0,0,0,0,0,0,1.61,2.12,0
 36-46,0,5.69,0,0,0,2.56,0,0,0,0,0,17.92,0,1.91,0,0,0,0.8,0,0,0,20.06,0.63,0,0,0,0.7,0,0,0,7.23,0,0
 48-58,0,1.21,0,0,0,7.39,0,0,2.27,0,0,78.15,0,0,0,0,0.5,4.35,3.83,0.42,1.19,6.45,0,0,0,0,0,0,0,0,1.23,1.91,0
 60-70,0,1.2,0,0,0,5.13,0,1.49,0,0,0,55.51,2.26,0,0,2.12,2.22,0,6.37,5.65,0,9.14,0,0,0,0,0,0,0,0,0,3.21,0
 72-82,0,1.35,0,0,0,5.49,0,0.81,6.17,0,0,69.35,0.63,0,0,0,0,2.41,3.37,0.75,0,14.93,1.9,1.16,0,0,0,0,0,1.5,1.62,4.31,8.12
 84-94,0,1.71,0,0,0,0.62,0,0,0.87,0,0,105.14,1.67,0,0,0,8.57,8.07,2.64,3.29,0,4.9,0,0,0,0,1.29,1.4,0,0,0.59,2.05,0
 96-106,0,2.04,0,0.71,1.91,1.58,0,0.66,0.59,0,0,136.47,1.87,1.02,0,0,0,3.09,13.39,0.76,0.71,13.37,3.7,0.77,0,1.3,0,0,0,0,0,1.93,0
108-118,0,1.46,0,0.56,0.71,7.07,0,0.43,7.85,0,0,86.03,0.97,0,0,0,0,0.88,0.51,1.82,0.58,18.59,7.49,0,0,0,0,0,0,0,0,10.12,0.79
120,0,3.46,0,0,1.84,3.11,3.87,0,0,7.03,0,146.58,1.28,0,1.15,0,0,0,5.42,0,0,24.25,4.55,0,0,0,0,0,2.12,0,0,1.72,0
