stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.16,6.43,51.09,5.78,0,15.42,0,0,0,601.85,7.72,5.17,0,0,2.8,0,0,4.95,0,29.31,0,0,19.44,493.43,34.25,36.68,38.34,56.05,0,0,73.35,261.47,0,58.41,1865.65,0,0,2.24,0,1.47
 24-34,5.54,1.81,15.56,1.99,0,36.14,0,0,3.48,556.95,1.33,0,0,0.6,1.28,5.31,4.38,0,0,57.01,0,0,27.99,558.47,9.86,218.77,40.39,0,11.19,0,0,296.56,0.62,19.66,1146.66,0,0,10.79,0,0
 36-46,0,0,3.1,1.34,0,32.66,0,0,0.79,384.49,0.66,0,0.65,0,0,0,4.95,11.69,0,26.02,0,0.63,5.69,554.31,3.28,312.87,33.87,0,3.43,0,0,156.31,0,0,741,0,0,6.52,0,0
 48-58,0,0,3.09,2.35,0,77.16,0.85,0,1.38,294.69,0.51,0,0,0,0,0,9.91,12.09,0.39,24.01,0,0.41,13.67,447.15,11.07,191.59,25.72,0,2.83,0,0,45.24,4.36,0,599.72,0,0,6.79,0.5,11.19
 60-70,1.85,0,1.67,0,0,99,3.09,0,0.84,203.85,7.34,0,0,0.98,0.64,0.81,27.08,1.19,0,32.54,0,0.65,5.4,461.71,3.49,238.82,84.76,0,1.68,0,0,36.51,0.86,0,399.83,0,2.36,1.96,0,1.24
 72-82,5.04,0,6.71,10.91,0,111.02,0,0,9.23,211.28,8.25,0,0,1.55,1.29,6.22,54.17,1.05,4.19,29.7,0,0.57,13.75,314.75,0,355.74,109.63,0,4.93,0,0,20.22,0,0,174.55,0,0,5.36,2.94,1.97
 84-94,5.82,4.8,14.5,14.96,0,94.71,0,0.6,5.36,182.9,8.39,1.22,1.86,0,0.71,8.11,64.42,3.01,0,28.71,0,1.01,3.7,214.18,0.63,369.01,164.73,0,11.58,1.4,0,39.16,0,0,206.13,2.52,1.13,4.48,5.11,3.47
 96-106,11.46,11.51,10.51,53.14,1.93,89.09,0,0,2.55,172.52,26.88,0,1.24,4.42,0,6.92,130.05,0.76,0,47.81,6.91,1.95,12.43,144.78,1.66,523.37,171.5,0,31.81,0,0,24.62,0,0,122.61,0,1.94,3.99,3.35,6.39
108-118,11.92,9.58,7.85,31.5,7.65,91.6,0.78,2.13,1.39,120.21,6.18,0,0,0.87,1.94,9.71,79.85,4.12,3.37,32.8,1.6,0.65,7.81,249.21,0,366.3,168.92,0,14.41,0,0,30.46,0.51,0,121.82,5.32,0,3.89,1.19,13.09
120,10.54,3.17,21.81,4.45,0,93.41,0,0,2.83,107.75,6.94,0,0,0,1.05,11.34,63.24,3.69,1.33,31.25,0,0,13.12,507.35,0,363.09,173.01,0,4.36,0,0,96.56,0,0,74.48,0,8.78,1.72,0,4.37
