stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,otic,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,14.39,0,0,0.93,0,0,0,0
 24-34,0,0,2.9,0,0,0,0,0,0,0.64,0,0,0,0.98,0,12.42,0,0,0,0,0,0.63,0.68,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.65,3.97,0,0.86,0,0,1.1,2.29,0,0,0,2.15,0,0
 48-58,0,0,0,0,0.45,0,0,0,0,1.59,0,0,8.86,1.61,0.91,5.24,0.39,0,0.59,0,0,0,0,0.38,0,2.29
 60-70,0,0,1.36,0,1.83,0,0,0,0,4.42,0,0,7.84,1.56,0,4.35,0,0,5.06,0,0,0,0,0.71,0,0
 72-82,0,0,1.9,0,0,0,1.49,0,0.56,6.83,0,0,1.64,3.33,0,0.74,0,0,3.17,0,0,0,0,1.09,0,0
 84-94,2.77,0,2.24,0,0,0,1.69,5.04,0,15.41,0.73,0,0,2.3,0,0.92,0,0.83,11.3,0,0,0,0,4.54,0,0.88
 96-106,0.99,0,4.16,0.62,0,0,7.94,4.27,0,18.55,0.56,1.43,0,3.8,0,9.25,0,0,29.13,0,0,0,0,11.64,0.69,0
108-118,0,1.06,4.12,0,0,2.18,1.47,6.98,0.63,24.2,1.31,7.42,0,5.75,0.97,12.04,0,0,35.67,0,0,0,0,7.84,0,0
120,0,0,6.37,1.12,3.13,3.49,0,7.43,0,47.53,0,1.08,0,16.04,1.32,12.71,0,0,126.25,0,1.14,0,0,11.91,0,0
