stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.31,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,1.13,12.91,0,0,0,0,2.08,0,1.23,0.81,3.76,0,0,0,0
 24-34,0,3.89,0,3.42,0,0,0,0.78,0,0,0.68,0,0,0,0,0,3.72,0,0,2.83,56.54,0.79,0.83,0,0,7.45,0,0,0,26.1,0,7.39,0,0
 36-46,0,21.16,0,14.35,0,0,1,1.67,0,0,0,0,0,0,0,0,7.36,0,0,5.23,119.71,0,2.96,0,0,6.68,0,0,0,27.01,0,3.24,0,1.74
 48-58,0,12.26,0.56,65.13,0,4.35,0,3.98,0,0.44,0,0,0,0.46,0,8.12,10.19,0,0,2.79,230.48,0.56,2.08,2.03,0,6.98,0,0,0,23.11,0,3.17,0,2.14
 60-70,0,0,1.52,87.54,0,0,0,10.22,0.99,0,0,0,8.02,0,0,0.59,7,1.1,1.33,0,244.22,0,0.7,1.23,0,2.29,0,0,0,17.44,0,2.16,0,0.7
 72-82,0.95,0.56,0.6,101.98,0,0,0,9.67,0.56,0,0,2.91,0,0.68,0,1.69,36.58,0,5.33,4.67,267.15,0,1.03,0,0,2.6,0,0,0,21.46,0,7.19,1.33,0
 84-94,0,3.13,0,64.31,0.76,0,0,12.94,1.51,0,1.14,0,0,0,0,2.48,19.57,0,0,0,134.9,0,0,0.55,0,9.89,0,0,0,7.53,0,2.59,2.61,0
 96-106,0,4.32,0,70.19,0,0,3.05,9.76,0.73,0,0.73,1.08,0,0,0,0,19.1,0,0.59,0,154.26,0,1.43,4.35,0,12.12,0.82,0,0,11.22,0.77,9.46,2.6,0
108-118,0,6.53,0,68.58,0,0,0,7.73,0,0,0,0,2.36,0.6,0,1.61,8.61,0,1.35,3,128.82,0,2.23,2.63,1.59,0.67,0,0,0,5.47,0,12.3,0.49,0
120,0,2.17,0,39.92,0,0,0,11.44,0,0,0,0,0,0,1.05,0,20.01,0,0,0,161.22,0,0,1.74,0,0,0,0,0,12.17,0,0,0,0
