stage,blastomeres,endoderm,epidermis,eye,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,56.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.38,0,12.56,0,0,0,0,0,0,0,0,0,0,28.9,0,0,4.09,0,0,0,0,0,0
 10-12,0,0,0,17.7,0,0,0,0,0,0,0,0,0,0,14.44,0,0,9.74,0,0,0,0,0,0
 14-21,0,0,2.41,1.91,0,1,0,0,0,0,0,1.06,0,0,5.52,0,0,0,0,2.73,3.14,0,0,0
 24-34,0,0,2.52,1.57,0,0,0,0,0,0,0,0.76,0,0,16.82,0,0.64,0,0,0,6.44,0,0,1.34
 36-46,0,0,0,0,0,0,0,0,0,0.57,0,1.71,0,0,12.43,0,0.58,0,0,0,4.4,0,0,0
 48-58,0,0,0,14.94,1.09,0,0.64,0,0,0,0,4.7,0,0,17.71,0.77,0,0,0,0,4.19,0,0,0.42
 60-70,0,0,2.24,4.16,1.14,2.38,0,0,0,0,0,2.36,0,0,9.82,0,0,0,1.2,0,5.55,0,0,0.75
 72-82,0,0,1.04,2.73,0,0,0,0,1.56,0,0,0.8,0.61,0,7.84,0,1.28,0,0,0,1.56,0.67,0,1.43
 84-94,0,0,1.02,2.58,1.27,0.67,0,0,0,0,0,4.68,0,0.92,1.95,0,0,0,2.01,0,0,0,0,0.55
 96-106,0,0,0,5.08,0,0,0,1.86,0,1.05,1.2,4.3,0,0,5.79,0,0,0,3.07,0,0,0,0,1.14
108-118,0,0,3.22,4.66,0,0.63,0,0.71,0,0,0,0,0,0,1.59,0,0,0,0.71,0,0,0,1.04,0
120,0,0,0,7.9,0,2.42,0,0,0,0,0,3.37,0,0,2.6,0,4.8,0,1.32,0,0,0,0,0
