stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.47,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.48,7.45,0,0,19.68,0,0,0,0,0,0,0,0,0,0,0
 10-12,15.87,0,18.19,0,35.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.34,0,0,0,64.23,0,0,0,66.68,0,9.11,5.88,0,0,0,0
 14-21,0,0,3.21,55.56,59.86,1.91,0,0,0,8.9,0,0,35.36,0,0,0,0,0,0,601.08,0,0,491.98,185.39,0,0,0,0.83,0,0,11.88,0.82,0,33.35,160.87,0,0.91,0,0
 24-34,0,0,0,16.89,4.54,9.97,0,0,1.54,15.91,0,0,59.99,0,3.02,0,0,10.46,1.29,721.27,0,0,190.13,126.83,9.07,0,0,0,1.61,11.83,0,0,0.65,0.65,73.54,0,36.86,0,0.79
 36-46,0,0,0,4.19,8.18,38.46,4.22,2.95,9.99,3.99,0,0,19.37,0,2.49,0,1.61,0,0,695,0,1.14,180.38,157.67,0,0,0,0,21.26,6.76,2.07,0,0,0,4.24,0,14.17,0,0
 48-58,0,0,0,14.24,0,72.3,0,0,45.74,1.17,0,0,17.13,1.83,1.32,0,0,0,0,871.3,0,10.11,118.42,235.74,0,0.76,0,0,17.03,11.85,0,0,4.98,0,8.6,6.53,6.15,0,0
 60-70,0,0.57,0,7.06,0.95,54.69,1.71,15.09,70.65,14.99,0,0,15.66,1.79,0,0,0,0,0,905.8,0,36.23,43.66,65.32,2.62,0,0,0,5.54,9.24,0,0,5.38,0,12.11,44.21,2.36,17.85,0
 72-82,0,0,0,4.79,7.59,97.27,0,2.75,121.06,8.33,2.13,0,15.69,0,1.47,0,0,0,1.89,1123.72,0,32.9,112.8,90.73,0,0,6.49,0,10.96,13.41,0,0,0,0,8.66,32.62,4.71,31.81,5.01
 84-94,0,0,0,18.09,0,138.89,0.57,0.75,66.65,20.5,2.25,0,7.8,1.03,0.86,0,1.91,0,0,926.5,0,91.28,140.73,56.61,1.23,0.76,4.62,0,12.81,27.29,0,0,0,0,11.24,25.1,7.19,126.73,0
 96-106,0,0.99,1.07,7.97,0,54.71,5.21,26.99,98.79,22.7,2.28,0,1.22,0,0.7,2.77,0,2.93,0,772.13,0.83,33.45,132.33,93.37,0,1.03,14.28,0,8.47,16.23,0,3.86,0,0,0.75,20.05,8.97,71.88,0
108-118,0,0,0,1.4,0,71.06,0.44,6.17,131.73,7.68,0,0,5.98,3.24,4.9,0.69,0,4.53,0,788.88,1.08,30.22,165.37,115.02,0.44,0,15.1,0,29.77,9.99,0,1.11,0,0,0,17.09,1.49,45.52,0
120,0,0,0,9.26,0,54.25,3.83,9,210.79,0,1.22,0,0,0,0,0,0,0,0,839.74,0,33.01,158.55,55.88,0,0,15.19,0,2.76,4.52,0,0,0,0,0,67.91,2.96,38.9,0
