stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,hatching_gland,immune,ionocyte,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,45.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,32.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,30.1,0,6.55,0,0,0,0,0,0
 14-21,0,0,1.17,0,0,0,0,0.81,0,0,0,4.17,0,0,1.01,1.17,3.8,1.63,0,0
 24-34,0,0,0.98,0,0.7,0,0,0,0,0,0.73,12.72,3.22,0,4.19,0,0,1.24,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,0,0,0,2.63,0,0.85
 48-58,0,0,0,0,1.48,0,0,0,0,0,5.19,14.09,0,0,0,0,0,1.1,0,0
 60-70,0,0,0,0,16.8,0,0,0,3.06,0,0,38.67,0,0,0,0,0,6.05,1.51,0
 72-82,0,0,0,0,5.07,0,1.69,0,0,0,2.23,35.27,0.77,0,0.99,0,0,0,0,0
 84-94,0,0,0,0,15.56,0,0,0,3.18,0,0,11.87,0,0,0,0,0,1.69,2.56,0
 96-106,0,0,0.61,0,2.55,1.22,0.61,0,0,0,4.18,7.92,0,0,3.26,0,0,0,0,0
108-118,0,0,0,0.65,7.48,0,2.31,0,0,0.52,0,26.48,0,0,2.96,0,0,0,0,0
120,0,0,0,0,4.68,0,10.48,0,0,0,10.38,67.88,1.32,0,1.04,0,0,0,3.52,0
