stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,taste
  3-4,52.94,1664.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.53,0,0,0,0,0
  5-6,80.65,1282.32,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,22.8,21.85,0,0,0,0,0
  7-9,11.02,12.39,12.31,0,0,50.93,0,5.37,0,0,0,0,0,0,0,233.84,11.13,0,48,0,14.29,0,0,0,0
 10-12,0,0,4.24,0,6.65,15.82,0,3.03,0,0,0,0,0,0,0,77.9,0,0,31.31,0,0,0,0,0,0
 14-21,0,0,0,1.46,0.98,0,0,0,0,0,0,0,0,0,0.94,4.87,0,4.58,0,0,0,1.22,0,1.14,0
 24-34,0,0,0,0.59,0,0,0,0,0,4.15,0,0,0.65,0,0,9.29,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0.75,3.28,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.39,0,0.96,0,0,0,14.13,0,0,0.38,0,1.64,1.98,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.67,0,0,0,13.17,0.95,0,0,0,0,6.82,0,0,0,0,0,0,1.41,0,0
 72-82,0,0,0,0,0,0.72,0,0,0,0,1.73,0,0,1.07,0,3.48,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.4,0,0,7.53,0,0,2.76,0.59,0,0,0,0,4,0,0,0,0,0,0,0,0,0.72
 96-106,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.75,0,2.74,1,0,0.46,1.97,0,0.56,1.56,0,0,0,0,0,0,0,0,0,0,0.42,0
120,0,0,0,1.09,0,0,1.06,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
