stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,47.59,0,0,0,14.76,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.65,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,25.69,0,0,0,69.54,0,0,0,0,0,17.83,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,6.23,1.09,0,0,0,0,0,0,0,0,8.41,6.98,0,0,0,0,0
 24-34,0,0,3.57,5.41,0,0,0,0,0,0,0,0,0,0,1.34,1.4,0,11.97,0,0,4.78,42.59,0,0,0,0,0,0,0,0,0.66,0,34.31,0,0,0,0,0
 36-46,0,0,12.33,21.43,0,3.04,0,0,0,3.07,0,0,0,0,5.01,0,0,43.04,0,0,37.24,73.05,0,0,0,0,0,3.36,0.65,0,0,0,32.54,0,0,0,0,0
 48-58,0,0,2.78,0.95,0,11.65,0,0,0.7,4.45,0,0,0,0,3.98,0.64,4.43,61.22,0.63,0,185.56,110.12,0,0.87,1.64,6.64,0,2.39,0,0,0,0,16.73,0,0,0,0,0.48
 60-70,0,0,5.11,0,0,10.36,12.14,0,0,5.77,0,0,0,0,0,0,0,139.2,0,0,108.43,210.74,0,2.5,0,0,0,2.32,0,0,0,0,16.94,0,13.08,0,11.51,0
 72-82,0,0,24.86,3.07,2.08,46.77,1.29,1.07,0,26.13,0,0,1.08,0.85,1.24,0,74.79,243.55,0.96,4.8,274.65,179.65,0,3.31,0,0,0,0,6.61,0,0,0,23.85,1.44,25.05,0,20.08,3.58
 84-94,0,3.04,45.7,5.23,7.04,41.79,6.31,0.63,0,14.6,1.22,0.99,0,1.06,0,0.6,388.44,127.17,5.39,9.39,156.76,193.29,0,0,0,0,0,2.97,0,0,0,0,23.49,0,22.2,0,26.99,7.59
 96-106,0,1.62,45.7,13.32,2.93,28.78,6.23,4.08,0.75,22.21,0.78,0,0,2.98,7.21,0,383.02,156.15,5.19,2.64,237.95,245.4,0,0,0.65,0,4.62,0.99,5.44,0,1.22,0,15.28,1.14,41.35,2.64,76.58,0
108-118,0,0,16.55,2.3,3.01,36.87,4.56,0.68,5.07,14.86,0,0,0,0.84,3.9,3.05,782.99,237.34,1.86,18.37,172.29,298.18,0,3.13,2.89,0,0,4.96,0,1.55,0,0,7.21,1.67,87.52,0,61.54,0
120,0,0,74.06,4.03,0,31.03,2.52,1.78,0,2.9,0,0,0,6.14,5.94,0,186.07,293.92,1.37,16.98,143.49,188.59,0,0,2.55,0,0,0,0,0,0,0,0,3.15,21.34,0,208.24,10.98
