stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.44,3.89,123.51,33.36,0,33.3,0,1.77,0,3.88,8.21,3.84,2.41,0,3.56,0,0,3.13,0.89,62.7,0,0,41.15,540.2,23.97,4.41,3.63,18.97,0,19.17,2.03,78.84,6.15,5.32,57.78,165.13,0,0,6.14,0,3.97
 24-34,0.61,4.41,76.11,7.27,0,118.9,0,6.22,0.64,27.86,2.76,2.95,6.54,13.09,23.43,0,5.55,14.95,30.77,90.67,7.13,0,40.46,1521.5,9.8,39.52,10.15,0,0,81.03,0,0.83,10.87,4.59,14.42,379.24,0,0,55.35,0,16.25
 36-46,0.85,0,54.5,4.84,0,303.47,1.3,4.89,6.46,75.47,0.74,0,6.24,28.44,33.53,3.9,4.15,13.33,146.44,116.43,3.59,0.57,52.33,2220.81,13.3,29.27,21.45,0,0,158,0.65,0,17.23,13.06,0,509.53,0,0.85,57.37,0,47.21
 48-58,1.1,0.44,49.23,11.34,0,752.63,1.77,12.09,23.77,193.79,0,1.51,7.51,11.55,9.96,12.58,2.98,2.61,111.24,198.65,13.12,3.16,47.6,2349.6,17.62,15.2,17.3,0,6.26,97.63,0,0,20.71,1.39,0,460.32,0,1.04,33.02,0,95.43
 60-70,0,0,38.65,9.33,0,1233.04,0.8,17.18,9.7,230.95,16.72,0,12.14,15.61,1.17,22.11,8.65,7.6,84.06,262.57,6.99,15.53,20.36,2294.28,12.65,19.17,4.41,0,4.28,148.61,0,0,6.19,0,0,375.29,0,11.02,21.4,10.42,140.94
 72-82,3.99,0,40.79,59.66,0.9,1035.68,0.55,7.45,19.35,272.97,19.68,1.11,5.12,19.72,8.12,37.29,4.39,10.9,48.14,389.5,14.12,24.67,34.88,1963.02,6.35,21.6,9.05,0,5.12,90.57,1.65,0,3.24,1.07,0,163.92,9.66,7.55,57.23,8.62,84.11
 84-94,5.48,0,67.25,90.05,5.41,811.37,5.81,3.14,5.7,193.74,64.11,4.31,2.68,50.45,14.2,24.78,6.65,3.4,88.95,286.29,3.11,14.79,21.62,1175.1,7.75,33.55,16.17,0,4.09,187.11,0,0,8.53,1.29,0,130.8,14.77,9.97,48.08,17.46,46.56
 96-106,3.13,0.69,64.74,82.76,4.2,706.15,2.27,15.49,12.65,219.59,49.64,0,0.58,35.05,17.51,29.94,12.33,8.03,44.38,223.2,5.09,19.19,21.9,876.88,5.56,27.49,22.22,0,5.81,151.24,0,0,6.62,0,0,63.9,10,12.71,60.8,10.21,56.3
108-118,5.66,0,102,58.43,7.74,612.61,1.03,17.84,8.08,217.44,60.09,0,2.37,38.18,10.71,62.06,10.51,14.97,86.02,238.7,23.9,29.71,14.52,1155.81,4.42,16.78,28.72,0,3.41,130.14,0,0,8.69,0,0,34.74,12.72,7.25,36.85,14.86,41.23
120,2.96,0,163,49.96,4.83,521.66,21.51,22.77,17.97,254.57,63.71,0,11.67,54.21,26.31,7.02,28.78,1.57,37.85,292.95,15.67,7.16,27.61,1283.25,11.43,11,53.55,0,7.72,106.22,0,0,20.61,0,0,55.18,9.13,1.56,86.36,7.22,44.77
