stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,41.27,207.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.05,0,0,0,0,0,0,0,0,0,0
  5-6,9.46,86.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,29.71,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.7,2,0.91,0,0.9,0,0,1.51,0,1.45,0,0,0,0,0,4.1,0,0.83,23.81,0,0,0,0,0,0,0,0,0,0.84,17.68,0,0,0.85,0,0
 24-34,0,0,0.97,2.63,0.62,0,2.77,0,0,7.69,0,0,0.73,0,0,0,0,0.73,0,1.96,250.83,0,16.73,0,0,0,0.63,0,1.51,0,0,99.06,0,0,8.11,0,0
 36-46,0,0,0,4.65,0,0,2.47,0,0,8.19,0,0,0.67,0,0,0,0,8.95,0,1.22,454.81,0,18.08,0,0,0,0.96,0,0,0,0,226.95,0,0,3.02,0,0
 48-58,0,0,0,1.9,1.7,0,93.78,5.25,0.4,36.41,4.62,0,0,0,0,0,0,22.54,0,3.99,797.25,0,3.72,0.37,0,0,4.04,0,0,0,0,255.72,0,0.42,1.44,0,8.06
 60-70,0,0,0,0.72,0,0,130.3,1.1,0,78.84,0,0,0,0,0,0,0,22.46,1.32,8.77,1153.16,0,2.15,9.52,0,0,3.4,0,0,1.84,0,298.61,0,5.55,0,0,0
 72-82,0,0,0.54,5.61,1.72,0,176.88,0,2.69,100.45,2.06,0,0,0,2.34,0,0,50.8,0,6.51,1251.04,0,14.8,14.83,0,0,0.52,0,0,0,0,224.98,0,3.88,1.69,5.27,5.39
 84-94,0,0,0,2.18,0.86,0,153.89,0,0,48.26,0,0,0,0,0,0.69,2.93,21.96,2.62,0.86,910.17,0,9.13,4.05,0,0,7.24,0,0,0,0,113.52,0,2.33,0,5.27,2.43
 96-106,0,0,2.86,2.2,3.09,1.05,147.85,0.59,0,65.16,1.48,1.98,3.83,0,0,1.2,9.06,44.25,5.42,2.53,700.37,0,12.61,4.17,0,0,1.36,1.35,0,0.57,0,77.57,2.03,0,0,7.72,13.32
108-118,0,0,0.83,5.9,0.66,0.95,194.65,1.09,0.5,64.58,2.81,0,1.73,3.68,0,0,0,29.47,0,1.1,1021.04,0.89,10.72,4.54,0,8,1.66,0,0.94,0,0,95.75,0.48,0.41,9.82,2.47,0
120,0,0,0,31.56,13.55,0,476.49,0,29.44,105.3,12.25,0,5.82,0,0,0,0,61.58,17.92,5.32,1831.15,0,16.52,21.56,0,0,0,0,0,0,0,129.01,0,5.53,0,0,0
