stage,endoderm,epidermis,eye,fin.epithelia,glial,gut,mesenchyme,neural,periderm,taste,vasculature
 10-12,0,0,4.29,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,7.01,0,0,0
 48-58,0,0,0.96,0,0.75,0,0,4.01,0,0,0
 60-70,0,0,0,2.38,0.75,1.04,0.57,0,0,0,0
 72-82,0,15.64,1.34,3.59,0.83,2.92,1.19,1.84,4.84,0.62,0
 84-94,0.78,7.03,2.43,10.38,0,0,3.83,0,0,0,0
 96-106,0,7.36,1.21,0.59,2.23,2.4,0,4.09,0,2.26,0
108-118,0,1.73,0,7.74,2.71,7.99,5.61,2.45,0,0.72,0
120,0,3.69,0,6.39,0,1.26,0,7.98,0,0,12.89
