stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.98,575.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.15,0,0,0,0,0,0,0,0,0,0
  5-6,34.93,611.51,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,6.56,0,25.34,0,0,0,0,0,0,0,0,0,0
  7-9,23.7,30.44,0,30.38,0,0,0,118.89,0,0,0,0,30.86,0,0,0,0,0,0,0,0,0,0,0,1025.94,42.2,0,0,326.46,0,7.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.72,0,56.38,0,0,0,135.48,0,0,0,0,8.68,0,0,0,0,0,0,0,0,0,0,0,1322.17,8.38,0,0,230,0,0,0,43.78,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,5.59,618.34,41.97,0,75.93,6.51,0,22.21,12.63,0,3.29,0,5.46,0,5.11,0,0.88,62.99,0,0,67.89,999.57,13.94,6.84,13,38.7,0,8.73,59.35,5.04,0,48.55,530.98,0,0,3.41,0,0
 24-34,0,0,0.65,3.57,112.28,0.81,0,49.74,23.93,5.02,42.15,0.61,0,3.54,0,2.09,0,20.71,0,0,122.14,1.51,0,72.08,2133.08,9.16,9.9,13.69,0,2.91,14.97,0,0.71,0,9.44,694.94,0,0,19.6,0,0.93
 36-46,0,0,0,0,37.2,0,0,269.59,18.15,3.65,91.69,0,0,4.12,0.63,0,0,18.7,0.72,14.7,128.15,0.63,9.03,33.72,2454.45,2.48,5.12,7.68,0,0,4.1,0,1.85,0,0,789.93,0,1.04,3.01,0,1.22
 48-58,0,0,0.54,0,76.59,0,0,573.38,18.05,4.43,243.91,0.85,0,4.65,0,1.39,0,21.99,1.27,5.47,199.11,3.44,5.29,24.73,2274.79,0,8.5,6.56,0,0.56,4.26,0,1.5,1.1,0,751.76,0,2.15,8.54,0,8.1
 60-70,0,0,0,0,47.74,0,0,836.21,10.4,4.49,239.96,1.7,0,5.15,0.81,3.22,0,23.78,0.81,0,137.36,0,2.55,10.2,1552.82,0,1.8,0,0,1.65,4,0,0,0,0,432.84,4.07,0.67,12.82,0,6.92
 72-82,0,0,0.62,0,43.96,6.26,0,1046.83,8.55,4.13,147.03,0,0,4.78,0,3.11,0,47.1,0,0,187.5,0,11.73,10.95,1228.54,0,0.88,5.68,0,0,6.33,0,1,2.89,0,156.3,3.36,3.27,9.27,3.04,0.99
 84-94,0,0,0,0,61.83,1.51,0,750.07,9.48,0.67,97.78,4.31,0,3.6,0,6.28,6.63,35.78,0.82,7.63,101.57,1.78,12.49,9.67,906.93,0,3.96,18.15,0,6.67,15.87,0,1.31,0,0,140.83,1.9,3.25,3.4,4.9,0
 96-106,0,0,2.18,0,33.97,0,1.05,748.93,9.58,5.7,132.38,6.07,0,4.29,0,5.15,3.26,44.25,0,0,101.47,1.26,1.67,7.93,691.34,0,6.68,11.58,0,3.21,5.71,0,0,0,0,61.65,1.14,1.56,4,0.85,0
108-118,0,0,0,0,71.01,0,0.91,654.03,16.27,0.43,107.08,7.09,0,2.2,0.55,14.16,4.24,42.53,6.55,2.47,143.41,2.39,7.59,9.57,892.6,0,1.5,6.57,0,4.83,3.79,0,3.75,0.53,0,67.32,12.65,0.5,5.07,1.26,0.6
120,0,0,0,0,60.84,0,0,592.83,26.16,0,204.21,1.21,0,23.92,0,10.61,3.73,27.37,0,1.64,104.25,0,19.65,10.36,1014.56,1.94,2.4,12.27,0,11.6,1.62,0,0,0,0,63.54,1.19,0,3.92,0,0
