stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature
 14-21,0.81,0,0,0,0,0,0,0,1.08,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.83,0.65,0,0,0
 36-46,0.89,0,0,0.57,0,0,0,1.15,0,8.23,0.74,0,0
 48-58,0,0,0,0,0,0,0,0.45,0,4.64,2.12,2.08,0
 60-70,0,1.86,0,0,0,0,0,0.63,0,3.91,0,1.93,0
 72-82,0,1.14,0,0,0,0.58,0,2.26,0,10.49,0.54,0,0
 84-94,0,2.42,1.77,0,0.82,0,0.67,1.68,0.81,27.98,0,0,1.14
 96-106,0,3.28,0,0,0,0,0,0.68,0,7.64,4.77,0,0
108-118,0,0,0,3.79,2.02,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,2,0,0,11.9,0,0,0
