stage,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle
 10-12,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.48,0,0,0,0,3.25,0,0,0,3.06,0,0,0.99,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.99,0,0,1.22,0,0,1.01,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.98,1.3,0,0,0,1.06,0
 60-70,0,0,0,0,0,0,0.9,4.26,0,0,1.11,6.23,0,0,0,0,0
 72-82,0,0,0,0,0,0.93,0,1.18,0,0,3.03,3.69,0,0,0,1.57,0
 84-94,0,0,2.66,0,0,0,0,0,0,0,5.9,4.19,0,1.04,0.75,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.6,16.04,0,0,0,0,0
108-118,0.84,0.9,0,1.02,0.86,0.61,0,1.91,0,0,7.42,14.82,0,0,0,0,1.42
120,0,0,0,0,0,1.68,0,6.62,3.04,0,4.91,11.48,0,0,0,0,0
